model,fold,prob_decile,n_obs,avg_pred,avg_actual,abs_calibration_error,ece
logit_pca,1,0,11576,0.02041640409456428,0.01978230822391154,0.0006340958706527386,0.04825704888442798
logit_pca,1,1,783,0.1427571622895085,0.0280970625798212,0.1146600997096873,0.04825704888442798
logit_pca,1,2,502,0.24158924967520967,0.04780876494023904,0.19378048473497061,0.04825704888442798
logit_pca,1,3,196,0.35820388342731957,0.08673469387755102,0.27146918954976856,0.04825704888442798
logit_pca,1,4,436,0.446631211876492,0.5756880733944955,0.12905686151800344,0.04825704888442798
logit_pca,1,5,311,0.5559111599805833,0.819935691318328,0.26402453133774473,0.04825704888442798
logit_pca,1,6,262,0.6534639199233452,0.6717557251908397,0.01829180526749452,0.04825704888442798
logit_pca,1,7,326,0.765352557574858,0.34662576687116564,0.41872679070369234,0.04825704888442798
logit_pca,1,8,430,0.8412850679308954,0.4069767441860465,0.4343083237448489,0.04825704888442798
logit_pca,1,9,28,0.9136383123579989,0.8214285714285714,0.09220974092942746,0.04825704888442798
logit_pca,2,0,15184,0.015495875988539074,0.022128556375131718,0.0066326803865926435,0.03782466556589004
logit_pca,2,1,748,0.14033244333879694,0.01871657754010695,0.12161586579868999,0.03782466556589004
logit_pca,2,2,492,0.24062996102585069,0.4024390243902439,0.16180906336439324,0.03782466556589004
logit_pca,2,3,187,0.3619702183150117,0.6363636363636364,0.27439341804862466,0.03782466556589004
logit_pca,2,4,390,0.45389718270814744,0.7153846153846154,0.26148743267646796,0.03782466556589004
logit_pca,2,5,251,0.5519479399457388,0.36254980079681276,0.189398139148926,0.03782466556589004
logit_pca,2,6,229,0.6528993338971527,0.43231441048034935,0.22058492341680336,0.03782466556589004
logit_pca,2,7,241,0.7559456469494662,0.5809128630705395,0.17503278387892673,0.03782466556589004
logit_pca,2,8,187,0.849688768732557,0.36363636363636365,0.4860524050961934,0.03782466556589004
logit_pca,2,9,25,0.9055583000157781,0.0,0.9055583000157781,0.03782466556589004
logit_pca,3,0,15287,0.01601761439621348,0.021979459671616405,0.005961845275402923,0.03460371332229581
logit_pca,3,1,1045,0.1399017381741673,0.0,0.1399017381741673,0.03460371332229581
logit_pca,3,2,318,0.23964794942759512,0.39622641509433965,0.15657846566674452,0.03460371332229581
logit_pca,3,3,109,0.37313607610972505,0.6330275229357798,0.25989144682605475,0.03460371332229581
logit_pca,3,4,329,0.4536638475986579,0.47112462006079026,0.017460772462132346,0.03460371332229581
logit_pca,3,5,439,0.5394487454443616,0.7198177676537585,0.18036902220939688,0.03460371332229581
logit_pca,3,6,150,0.6640853749646873,0.04,0.6240853749646873,0.03460371332229581
logit_pca,3,7,151,0.7523113768610293,0.006622516556291391,0.7456888603047379,0.03460371332229581
logit_pca,3,8,231,0.8678007740535263,0.8225108225108225,0.045289951542703766,0.03460371332229581
logit_pca,3,9,145,0.9112452788353856,1.0,0.08875472116461436,0.03460371332229581
logit_pca,4,0,16033,0.017663093334208152,0.020956776648163162,0.00329368331395501,0.023902614787471146
logit_pca,4,1,751,0.14890630298627025,0.0,0.14890630298627025,0.023902614787471146
logit_pca,4,2,78,0.2639755485819986,0.7564102564102564,0.49243470782825777,0.023902614787471146
logit_pca,4,3,251,0.3503846427873828,0.4820717131474104,0.13168707036002758,0.023902614787471146
logit_pca,4,4,254,0.459322233772684,0.31496062992125984,0.14436160385142416,0.023902614787471146
logit_pca,4,5,257,0.5418480148807805,0.31906614785992216,0.22278186702085834,0.023902614787471146
logit_pca,4,6,142,0.6578906236667762,0.9084507042253521,0.2505600805585759,0.023902614787471146
logit_pca,4,7,356,0.7643107143827316,0.5730337078651685,0.19127700651756308,0.023902614787471146
logit_pca,4,8,269,0.8753592180891545,0.8736059479553904,0.0017532701337641399,0.023902614787471146
logit_pca,4,9,101,0.9223864352926671,1.0,0.07761356470733294,0.023902614787471146
logit_pca,5,0,17621,0.013976213148660866,0.019068157312297825,0.005091944163636959,0.02614495557131973
logit_pca,5,1,573,0.15223805833383547,0.0,0.15223805833383547,0.02614495557131973
logit_pca,5,2,236,0.23963006582827856,0.1271186440677966,0.11251142176048196,0.02614495557131973
logit_pca,5,3,296,0.34631695625986203,0.5709459459459459,0.2246289896860839,0.02614495557131973
logit_pca,5,4,262,0.4609828803645589,0.2824427480916031,0.17854013227295584,0.02614495557131973
logit_pca,5,5,324,0.5492383526774441,0.4074074074074074,0.14183094527003676,0.02614495557131973
logit_pca,5,6,414,0.6557014428636893,0.5193236714975845,0.13637777136610474,0.02614495557131973
logit_pca,5,7,192,0.7487139460770139,0.2708333333333333,0.4778806127436806,0.02614495557131973
logit_pca,5,8,298,0.862379418629485,0.9093959731543624,0.04701655452487741,0.02614495557131973
logit_pca,5,9,65,0.9186113421096546,1.0,0.08138865789034544,0.02614495557131973
logit_pca,6,0,18561,0.016240344056490195,0.01810247292710522,0.0018621288706150256,0.012685528131918505
logit_pca,6,1,604,0.15454457815888012,0.0,0.15454457815888012,0.012685528131918505
logit_pca,6,2,579,0.2507582542781675,0.23834196891191708,0.012416285366250418,0.012685528131918505
logit_pca,6,3,211,0.3388675636643412,0.44075829383886256,0.10189073017452138,0.012685528131918505
logit_pca,6,4,179,0.43850439121025514,0.5810055865921788,0.14250119538192368,0.012685528131918505
logit_pca,6,5,26,0.5313094317819922,0.038461538461538464,0.49284789332045376,0.012685528131918505
logit_pca,6,6,1,0.6934202476388275,1.0,0.3065797523611725,0.012685528131918505
logit_pca,6,7,71,0.7398854682168877,1.0,0.2601145317831123,0.012685528131918505
logit_pca,6,8,184,0.8668502049579202,1.0,0.1331497950420798,0.012685528131918505
logit_pca,6,9,416,0.9373244793788624,1.0,0.06267552062113757,0.012685528131918505
logit_pca,7,0,16843,0.02188194772497155,0.019948940212551208,0.0019330075124203427,0.02367721920246226
logit_pca,7,1,919,0.150061360067945,0.0,0.150061360067945,0.02367721920246226
logit_pca,7,2,731,0.2363680176070182,0.0,0.2363680176070182,0.02367721920246226
logit_pca,7,3,218,0.3438719242004179,0.3486238532110092,0.004751929010591294,0.02367721920246226
logit_pca,7,4,55,0.43298066305205757,0.21818181818181817,0.2147988448702394,0.02367721920246226
logit_pca,7,5,45,0.5569901241329407,0.6666666666666666,0.10967654253372594,0.02367721920246226
logit_pca,7,6,97,0.6629062515266745,0.865979381443299,0.20307312991662452,0.02367721920246226
logit_pca,7,7,275,0.7463711073899894,0.96,0.2136288926100106,0.02367721920246226
logit_pca,7,8,162,0.8409862378947108,0.7592592592592593,0.08172697863545153,0.02367721920246226
logit_pca,7,9,171,0.9452371775696636,1.0,0.054762822430336366,0.02367721920246226
logit_pca,8,0,17044,0.02316555807997289,0.021943205820229992,0.0012223522597428968,0.019159720245237606
logit_pca,8,1,862,0.1469261011422269,0.08932714617169374,0.05759895497053316,0.019159720245237606
logit_pca,8,2,853,0.24033293863936614,0.05509964830011723,0.1852332903392489,0.019159720245237606
logit_pca,8,3,365,0.34561705603004017,0.16986301369863013,0.17575404233141004,0.019159720245237606
logit_pca,8,4,195,0.45359272415095647,0.5128205128205128,0.0592277886695563,0.019159720245237606
logit_pca,8,5,293,0.5602217386464922,0.5870307167235495,0.02680897807705729,0.019159720245237606
logit_pca,8,6,314,0.6573004547786091,0.8439490445859873,0.1866485898073782,0.019159720245237606
logit_pca,8,7,219,0.7442234834010187,0.6757990867579908,0.06842439664302791,0.019159720245237606
logit_pca,8,8,107,0.8447412314492464,0.822429906542056,0.022311324907190344,0.019159720245237606
logit_pca,9,0,18453,0.01765737973422783,0.03468270741884789,0.01702532768462006,0.041109305220800064
logit_pca,9,1,761,0.14123100797895588,0.03942181340341656,0.10180919457553933,0.041109305220800064
logit_pca,9,2,592,0.2451034568468387,0.0033783783783783786,0.24172507846846034,0.041109305220800064
logit_pca,9,3,261,0.34178779216103033,0.1839080459770115,0.15787974618401884,0.041109305220800064
logit_pca,9,4,324,0.44261318489119816,0.5524691358024691,0.10985595091127098,0.041109305220800064
logit_pca,9,5,166,0.5569011276816839,0.09036144578313253,0.46653968189855133,0.041109305220800064
logit_pca,9,6,218,0.6386454756545918,0.8486238532110092,0.20997837755641735,0.041109305220800064
logit_pca,9,7,235,0.7698112920222686,0.9617021276595744,0.1918908356373058,0.041109305220800064
logit_pca,9,8,160,0.8394182556938032,0.35625,0.48316825569380323,0.041109305220800064
logit_pca,9,9,344,0.9455148098638666,0.8662790697674418,0.07923574009642476,0.041109305220800064
logit_pca,10,0,17988,0.021593034285797286,0.02907493884812097,0.007481904562323685,0.02487098301957322
logit_pca,10,1,668,0.14767040913685708,0.07934131736526946,0.06832909177158762,0.02487098301957322
logit_pca,10,2,489,0.2539482799638512,0.1411042944785276,0.11284398548532362,0.02487098301957322
logit_pca,10,3,570,0.34766861701257723,0.39473684210526316,0.047068225092685934,0.02487098301957322
logit_pca,10,4,174,0.4512777050841653,0.5747126436781609,0.12343493859399557,0.02487098301957322
logit_pca,10,5,143,0.5532650530125649,0.1048951048951049,0.44836994811746,0.02487098301957322
logit_pca,10,6,127,0.6408744061971555,0.49606299212598426,0.14481141407117126,0.02487098301957322
logit_pca,10,7,239,0.7425829656241145,0.9916317991631799,0.24904883353906537,0.02487098301957322
logit_pca,10,8,218,0.8656036890715672,0.463302752293578,0.40230093677798917,0.02487098301957322
