fold,representation,model,n_components,class_weight,train_start,train_end,test_start,test_end,status,eval_group_type,eval_group,n_obs,brier,log_loss,avg_pred,avg_actual,window_hours
1,persistence_image,pi_72h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_eth,1937,0.016989277288257738,0.13673063526612286,0.12733874306700033,0.0,72
1,persistence_image,pi_72h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.011001776436419182,0.11050905071465712,0.10458605071835196,0.0,72
1,persistence_image,pi_72h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.013150556142622973,0.12146655186115074,0.11433488563885977,0.0,72
1,persistence_image,pi_72h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.11000589401957661,0.35916104414727124,0.11267416640790862,0.1407602147004053,72
1,persistence_image,pi_72h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.08134668818685895,0.2876858428619128,0.11753876171271828,0.1,72
1,persistence_image,pi_72h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,51-100,13110,0.07256486223433795,0.26864028931809275,0.11586348309976749,0.08474446987032799,72
1,persistence_image,pi_72h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.20437228439481542,0.6012781588249392,0.4648373347433536,0.08653198653198653,72
1,persistence_image,pi_72h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_btc,3112,0.24368901406471663,0.683708578650356,0.48183595447095473,0.0,72
1,persistence_image,pi_72h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_eth,1937,0.27228952872181184,0.7428912163695147,0.5121027085272495,0.0,72
1,persistence_image,pi_72h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.17694398173174103,0.545441594940913,0.4197469914856883,0.0,72
1,persistence_image,pi_72h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.2176042711428412,0.6280898375443199,0.46558539273852667,0.0,72
