split,fold,representation,model,prob_decile,n_obs,avg_pred,avg_actual
design_cv,2,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,0,9376,0.0150228846472822,0.0207977815699658
design_cv,2,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,1,280,0.1288351763635632,0.4714285714285714
design_cv,2,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,2,447,0.2507374042666937,0.0313199105145413
design_cv,2,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,3,263,0.3358367621824609,0.0
design_cv,2,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,5,2,0.5842729948620349,1.0
design_cv,2,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,6,11,0.6696100971357318,1.0
design_cv,2,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,7,159,0.7509930634945924,1.0
design_cv,2,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,8,141,0.8377431974771061,1.0
design_cv,2,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,9,335,0.9210480925345166,1.0
design_cv,2,tda_only,tda_only_24h_h0_h1_C0.01,0,9146,0.0175513802178258,0.0157445877979444
design_cv,2,tda_only,tda_only_24h_h0_h1_C0.01,1,502,0.1239107366025012,0.3565737051792829
design_cv,2,tda_only,tda_only_24h_h0_h1_C0.01,2,387,0.2582091292783456,0.0465116279069767
design_cv,2,tda_only,tda_only_24h_h0_h1_C0.01,3,271,0.3474873613885552,0.0
design_cv,2,tda_only,tda_only_24h_h0_h1_C0.01,4,60,0.413706894070294,0.0
design_cv,2,tda_only,tda_only_24h_h0_h1_C0.01,5,3,0.5597145992980234,1.0
design_cv,2,tda_only,tda_only_24h_h0_h1_C0.01,6,31,0.6696615341150105,1.0
design_cv,2,tda_only,tda_only_24h_h0_h1_C0.01,7,145,0.7555567089268703,1.0
design_cv,2,tda_only,tda_only_24h_h0_h1_C0.01,8,162,0.8382574764267834,1.0
design_cv,2,tda_only,tda_only_24h_h0_h1_C0.01,9,307,0.9130461605722364,1.0
design_cv,3,market_probability,market_probability,0,6140,0.0395602893585849,0.0
design_cv,3,market_probability,market_probability,1,1846,0.1360554173600585,0.0
design_cv,3,market_probability,market_probability,2,611,0.2493944353518821,0.0
design_cv,3,market_probability,market_probability,3,947,0.3275818373812038,0.0190073917634635
design_cv,3,market_probability,market_probability,4,524,0.4500381679389313,0.566793893129771
design_cv,3,market_probability,market_probability,5,728,0.5442032967032967,0.4148351648351648
design_cv,3,market_probability,market_probability,6,55,0.6087272727272727,1.0
design_cv,3,market_probability,market_probability,7,97,0.7685051546391752,1.0
design_cv,3,market_probability,market_probability,8,215,0.8364883720930233,1.0
design_cv,3,market_probability,market_probability,9,24,0.9270833333333334,1.0
design_cv,3,pca_only,pca_only_fixed_2_C1,0,9430,0.0192878122978325,0.0
design_cv,3,pca_only,pca_only_fixed_2_C1,1,358,0.1570279193018531,0.5307262569832403
design_cv,3,pca_only,pca_only_fixed_2_C1,2,307,0.2578531844078556,0.4201954397394137
design_cv,3,pca_only,pca_only_fixed_2_C1,3,428,0.3399274709565222,0.1191588785046729
design_cv,3,pca_only,pca_only_fixed_2_C1,4,270,0.4516389668173143,0.9037037037037036
design_cv,3,pca_only,pca_only_fixed_2_C1,5,58,0.5113511838607263,1.0
design_cv,3,pca_only,pca_only_fixed_2_C1,7,33,0.7873296445810376,1.0
design_cv,3,pca_only,pca_only_fixed_2_C1,8,209,0.8531679451742527,1.0
design_cv,3,pca_only,pca_only_fixed_2_C1,9,94,0.917650528257178,1.0
design_cv,3,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,0,9338,0.0198812634145158,0.0
design_cv,3,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,1,381,0.1494866758743502,0.4199475065616798
design_cv,3,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,2,280,0.2525309016505579,0.525
design_cv,3,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,3,451,0.3437536209094952,0.0953436807095343
design_cv,3,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,4,273,0.4449646538707433,0.717948717948718
design_cv,3,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,5,128,0.516424269439961,0.984375
design_cv,3,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,7,3,0.7872932030514649,1.0
design_cv,3,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,8,235,0.8558720297664646,1.0
design_cv,3,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,9,98,0.927960332740386,1.0
design_cv,3,tda_only,tda_only_24h_h0_h1_C0.01,0,9555,0.0151899422595038,0.0023024594453165
design_cv,3,tda_only,tda_only_24h_h0_h1_C0.01,1,586,0.1481729928010083,0.5204778156996587
design_cv,3,tda_only,tda_only_24h_h0_h1_C0.01,2,520,0.2419779901507974,0.3307692307692307
design_cv,3,tda_only,tda_only_24h_h0_h1_C0.01,3,180,0.3414765301518669,0.9055555555555556
design_cv,3,tda_only,tda_only_24h_h0_h1_C0.01,4,10,0.4082594662549004,1.0
design_cv,3,tda_only,tda_only_24h_h0_h1_C0.01,5,10,0.5608861157845629,1.0
design_cv,3,tda_only,tda_only_24h_h0_h1_C0.01,6,94,0.6605483982914254,1.0
design_cv,3,tda_only,tda_only_24h_h0_h1_C0.01,7,138,0.752935638628171,1.0
design_cv,3,tda_only,tda_only_24h_h0_h1_C0.01,8,94,0.8215699782002553,1.0
design_cv,4,market_probability,market_probability,0,6651,0.040081566681702,0.0
design_cv,4,market_probability,market_probability,1,1493,0.1503365706630944,0.0
design_cv,4,market_probability,market_probability,2,690,0.2501050724637681,0.0
design_cv,4,market_probability,market_probability,3,708,0.3529703389830508,0.0663841807909604
design_cv,4,market_probability,market_probability,4,824,0.456504854368932,0.3883495145631068
design_cv,4,market_probability,market_probability,5,548,0.5317244525547445,0.5565693430656934
design_cv,4,market_probability,market_probability,6,53,0.6799056603773584,0.0
design_cv,4,market_probability,market_probability,7,110,0.7540454545454546,0.0
design_cv,4,market_probability,market_probability,8,11,0.8172727272727273,0.0
design_cv,4,market_probability,market_probability,9,336,0.9425535714285712,1.0
design_cv,4,pca_only,pca_only_var_85_C1,0,9263,0.0145307334262705,0.0029148224117456
design_cv,4,pca_only,pca_only_var_85_C1,1,655,0.1478453542412348,0.0885496183206106
design_cv,4,pca_only,pca_only_var_85_C1,2,539,0.2476419102850583,0.5807050092764379
design_cv,4,pca_only,pca_only_var_85_C1,3,309,0.3259700421120159,0.8867313915857605
design_cv,4,pca_only,pca_only_var_85_C1,4,146,0.4419347255107755,0.0
design_cv,4,pca_only,pca_only_var_85_C1,5,12,0.5451382057386444,0.0
design_cv,4,pca_only,pca_only_var_85_C1,6,60,0.662846239311049,0.0
design_cv,4,pca_only,pca_only_var_85_C1,7,89,0.7497383832549259,0.0
design_cv,4,pca_only,pca_only_var_85_C1,8,15,0.8242494325905995,0.0
design_cv,4,pca_only,pca_only_var_85_C1,9,336,0.9489385638029544,1.0
design_cv,4,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,0,9256,0.0145870575526158,0.0027009507346585
design_cv,4,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,1,660,0.1481771449370939,0.0909090909090909
design_cv,4,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,2,530,0.2493964196892379,0.5735849056603773
design_cv,4,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,3,324,0.3266524545413179,0.8734567901234568
design_cv,4,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,4,141,0.4439703014689026,0.0
design_cv,4,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,5,13,0.5438516689684105,0.0
design_cv,4,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,6,60,0.6640543670606823,0.0
design_cv,4,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,7,88,0.7545843417085476,0.0
design_cv,4,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,8,16,0.8273138896422174,0.0
design_cv,4,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,9,336,0.9497213170316648,1.0
design_cv,4,tda_only,tda_only_24h_h0_h1_C0.1,0,9597,0.0133047527083844,0.0072939460247994
design_cv,4,tda_only,tda_only_24h_h0_h1_C0.1,1,899,0.1503974250891157,0.4304783092324805
design_cv,4,tda_only,tda_only_24h_h0_h1_C0.1,2,363,0.2274458911750465,0.5922865013774105
design_cv,4,tda_only,tda_only_24h_h0_h1_C0.1,3,60,0.3193167895640032,0.0
design_cv,4,tda_only,tda_only_24h_h0_h1_C0.1,4,22,0.4720747224843657,0.0
design_cv,4,tda_only,tda_only_24h_h0_h1_C0.1,5,62,0.5446904321995485,0.0
design_cv,4,tda_only,tda_only_24h_h0_h1_C0.1,6,75,0.6448343366861746,0.0
design_cv,4,tda_only,tda_only_24h_h0_h1_C0.1,7,10,0.7249436174887827,0.0
design_cv,4,tda_only,tda_only_24h_h0_h1_C0.1,8,279,0.8859085527193046,1.0
design_cv,4,tda_only,tda_only_24h_h0_h1_C0.1,9,57,0.9047831337839984,1.0
design_cv,5,market_probability,market_probability,0,5871,0.0364078632073458,0.0
design_cv,5,market_probability,market_probability,1,1508,0.1560148302402677,0.0
design_cv,5,market_probability,market_probability,2,635,0.2452874549839201,0.0
design_cv,5,market_probability,market_probability,3,652,0.3468079894389571,0.0291411042944785
design_cv,5,market_probability,market_probability,4,1515,0.4563626903619499,0.3326732673267327
design_cv,5,market_probability,market_probability,5,483,0.5355704164650612,0.3084886128364389
design_cv,5,market_probability,market_probability,6,22,0.6210640288719448,0.0909090909090909
design_cv,5,market_probability,market_probability,7,331,0.7683588018142827,0.0
design_cv,5,market_probability,market_probability,8,7,0.805,0.0
design_cv,5,market_probability,market_probability,9,312,0.9600124598006948,1.0
design_cv,5,pca_only,pca_only_var_85_C1,0,9126,0.0129126234456422,0.01468332237563
design_cv,5,pca_only,pca_only_var_85_C1,1,1295,0.1386753536143609,0.3714285714285714
design_cv,5,pca_only,pca_only_var_85_C1,2,240,0.2268419938371891,0.2375
design_cv,5,pca_only,pca_only_var_85_C1,3,18,0.3452854220634898,0.0
design_cv,5,pca_only,pca_only_var_85_C1,4,6,0.4430620755293024,0.0
design_cv,5,pca_only,pca_only_var_85_C1,5,14,0.5771493897647166,0.1428571428571428
design_cv,5,pca_only,pca_only_var_85_C1,6,236,0.658817071324259,0.0
design_cv,5,pca_only,pca_only_var_85_C1,7,89,0.7206198597586099,0.0
design_cv,5,pca_only,pca_only_var_85_C1,8,42,0.889576772698185,1.0
design_cv,5,pca_only,pca_only_var_85_C1,9,270,0.9196436400911334,1.0
design_cv,5,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,0,9056,0.0127071523852196,0.0129196113074204
design_cv,5,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,1,1331,0.1396393359670185,0.3621337340345605
design_cv,5,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,2,269,0.229892520292656,0.2713754646840148
design_cv,5,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,3,23,0.3382582953558429,0.0
design_cv,5,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,4,5,0.4512398251253439,0.0
design_cv,5,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,5,8,0.5713709520281294,0.25
design_cv,5,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,6,225,0.6637623337681273,0.0
design_cv,5,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,7,107,0.7238429767115147,0.0
design_cv,5,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,8,35,0.8913110076329265,1.0
design_cv,5,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,9,277,0.9225463730906752,1.0
design_cv,5,tda_only,tda_only_24h_h0_h1_C0.01,0,8764,0.0138720378243097,0.0047923322683706
design_cv,5,tda_only,tda_only_24h_h0_h1_C0.01,1,1552,0.1423060566134908,0.3530927835051546
design_cv,5,tda_only,tda_only_24h_h0_h1_C0.01,2,324,0.2332529047289677,0.2561728395061728
design_cv,5,tda_only,tda_only_24h_h0_h1_C0.01,3,41,0.3364906254649005,0.024390243902439
design_cv,5,tda_only,tda_only_24h_h0_h1_C0.01,4,6,0.4419042040680694,0.0
design_cv,5,tda_only,tda_only_24h_h0_h1_C0.01,5,39,0.5789337628156165,0.0
design_cv,5,tda_only,tda_only_24h_h0_h1_C0.01,6,283,0.6516741531313797,0.0
design_cv,5,tda_only,tda_only_24h_h0_h1_C0.01,7,15,0.7196068015842093,0.0
design_cv,5,tda_only,tda_only_24h_h0_h1_C0.01,8,280,0.8891037173078105,1.0
design_cv,5,tda_only,tda_only_24h_h0_h1_C0.01,9,32,0.9111661903654708,1.0
design_cv,6,market_probability,market_probability,0,7223,0.0349505007415933,0.0
design_cv,6,market_probability,market_probability,1,2235,0.1500955257270693,0.0747203579418344
design_cv,6,market_probability,market_probability,2,785,0.2471910828025477,0.0114649681528662
design_cv,6,market_probability,market_probability,3,1116,0.3459543010752688,0.0528673835125448
design_cv,6,market_probability,market_probability,4,530,0.4468207547169811,0.030188679245283
design_cv,6,market_probability,market_probability,5,716,0.570467877094972,0.7192737430167597
design_cv,6,market_probability,market_probability,6,427,0.6446135831381733,0.3583138173302108
design_cv,6,market_probability,market_probability,7,492,0.7449085365853658,0.6016260162601627
design_cv,6,market_probability,market_probability,8,84,0.8358928571428572,0.1666666666666666
design_cv,6,market_probability,market_probability,9,1,0.905,0.0
design_cv,6,pca_only,pca_only_var_85_C1,0,10242,0.0226655921243024,0.0171841437219293
design_cv,6,pca_only,pca_only_var_85_C1,1,813,0.1436053982735296,0.034440344403444
design_cv,6,pca_only,pca_only_var_85_C1,2,461,0.2497310316471827,0.0954446854663774
design_cv,6,pca_only,pca_only_var_85_C1,3,303,0.3393699555474383,0.0297029702970297
design_cv,6,pca_only,pca_only_var_85_C1,4,291,0.4507287990338718,0.7216494845360825
design_cv,6,pca_only,pca_only_var_85_C1,5,276,0.5510602099979595,0.3260869565217391
design_cv,6,pca_only,pca_only_var_85_C1,6,378,0.6509667332800052,0.5978835978835979
design_cv,6,pca_only,pca_only_var_85_C1,7,261,0.7373380296817936,0.8390804597701149
design_cv,6,pca_only,pca_only_var_85_C1,8,418,0.8649664369900448,0.3229665071770335
design_cv,6,pca_only,pca_only_var_85_C1,9,166,0.9219772214819948,0.5542168674698795
design_cv,6,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,0,10248,0.0222381569262634,0.0169789227166276
design_cv,6,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,1,817,0.1446293905906861,0.0379436964504283
design_cv,6,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,2,465,0.2422814270470533,0.0924731182795698
design_cv,6,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,3,287,0.3394807371403882,0.0174216027874564
design_cv,6,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,4,298,0.4516933511038898,0.7315436241610739
design_cv,6,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,5,280,0.5537139611413863,0.3214285714285714
design_cv,6,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,6,371,0.6519015956953494,0.6091644204851752
design_cv,6,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,7,264,0.7341997647314962,0.8295454545454546
design_cv,6,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,8,404,0.8631238963382051,0.3044554455445544
design_cv,6,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,9,175,0.9181121313267788,0.5714285714285714
design_cv,6,tda_only,tda_only_168h_h0_h1_C0.01,0,12866,0.0076789080915456,0.0662987719570962
design_cv,6,tda_only,tda_only_168h_h0_h1_C0.01,1,248,0.1459440117316724,0.2580645161290322
design_cv,6,tda_only,tda_only_168h_h0_h1_C0.01,2,114,0.2595362163133869,0.5
design_cv,6,tda_only,tda_only_168h_h0_h1_C0.01,3,168,0.3155681205122727,0.9226190476190476
design_cv,6,tda_only,tda_only_168h_h0_h1_C0.01,4,61,0.4542214985551843,0.0
design_cv,6,tda_only,tda_only_168h_h0_h1_C0.01,5,132,0.5462025203328532,0.6136363636363636
design_cv,6,tda_only,tda_only_168h_h0_h1_C0.01,6,20,0.6294304819753894,0.95
design_cv,7,market_probability,market_probability,0,10889,0.0287293465701031,0.0
design_cv,7,market_probability,market_probability,1,2468,0.1494108589951377,0.1333063209076175
design_cv,7,market_probability,market_probability,2,770,0.2551883116883117,0.009090909090909
design_cv,7,market_probability,market_probability,3,1321,0.3437509462528387,0.0
design_cv,7,market_probability,market_probability,4,677,0.4524519940915805,0.190546528803545
design_cv,7,market_probability,market_probability,5,607,0.5574711696869852,0.5848434925864909
design_cv,7,market_probability,market_probability,6,554,0.6457129963898918,0.5288808664259927
design_cv,7,market_probability,market_probability,7,427,0.7442540983606557,0.5128805620608899
design_cv,7,market_probability,market_probability,8,120,0.8396375,0.1
design_cv,7,market_probability,market_probability,9,34,0.9148235294117648,0.0
design_cv,7,pca_only,pca_only_fixed_5_C0.01,0,15188,0.0149567126863146,0.0221227284698446
design_cv,7,pca_only,pca_only_fixed_5_C0.01,1,702,0.1442695721983224,0.0213675213675213
design_cv,7,pca_only,pca_only_fixed_5_C0.01,2,435,0.2456771504872693,0.3586206896551724
design_cv,7,pca_only,pca_only_fixed_5_C0.01,3,222,0.3576385069041419,0.8153153153153153
design_cv,7,pca_only,pca_only_fixed_5_C0.01,4,398,0.4519187921372269,0.7939698492462312
design_cv,7,pca_only,pca_only_fixed_5_C0.01,5,218,0.5545457681688599,0.2339449541284403
design_cv,7,pca_only,pca_only_fixed_5_C0.01,6,319,0.6555501824395042,0.4294670846394984
design_cv,7,pca_only,pca_only_fixed_5_C0.01,7,245,0.7527288808193143,0.5918367346938775
design_cv,7,pca_only,pca_only_fixed_5_C0.01,8,122,0.8601785733848951,0.0573770491803278
design_cv,7,pca_only,pca_only_fixed_5_C0.01,9,18,0.9052255759612966,0.0
design_cv,7,pca_plus_tda,pca_plus_tda_fixed_5_168h_h0_h1_C0.01,0,15112,0.0156156284397572,0.0222339862361037
design_cv,7,pca_plus_tda,pca_plus_tda_fixed_5_168h_h0_h1_C0.01,1,689,0.1417639764301591,0.0174165457184325
design_cv,7,pca_plus_tda,pca_plus_tda_fixed_5_168h_h0_h1_C0.01,2,474,0.2481869952622057,0.3080168776371308
design_cv,7,pca_plus_tda,pca_plus_tda_fixed_5_168h_h0_h1_C0.01,3,210,0.3479661527534455,0.6666666666666666
design_cv,7,pca_plus_tda,pca_plus_tda_fixed_5_168h_h0_h1_C0.01,4,377,0.4563867562289618,0.7931034482758621
design_cv,7,pca_plus_tda,pca_plus_tda_fixed_5_168h_h0_h1_C0.01,5,259,0.5472568864017796,0.4324324324324324
design_cv,7,pca_plus_tda,pca_plus_tda_fixed_5_168h_h0_h1_C0.01,6,332,0.6568626631387647,0.4367469879518072
design_cv,7,pca_plus_tda,pca_plus_tda_fixed_5_168h_h0_h1_C0.01,7,211,0.750108334890232,0.4123222748815165
design_cv,7,pca_plus_tda,pca_plus_tda_fixed_5_168h_h0_h1_C0.01,8,164,0.8459429343548721,0.4085365853658536
design_cv,7,pca_plus_tda,pca_plus_tda_fixed_5_168h_h0_h1_C0.01,9,39,0.9081908149754632,0.0
design_cv,7,tda_only,tda_only_168h_h0_h1_C0.01,0,16662,0.0070411909568805,0.0474732925219061
design_cv,7,tda_only,tda_only_168h_h0_h1_C0.01,1,597,0.139537396144363,0.5175879396984925
design_cv,7,tda_only,tda_only_168h_h0_h1_C0.01,2,313,0.2407963370363242,0.3674121405750798
design_cv,7,tda_only,tda_only_168h_h0_h1_C0.01,3,173,0.3448732249231225,0.7398843930635838
design_cv,7,tda_only,tda_only_168h_h0_h1_C0.01,4,53,0.4474027222720591,0.0188679245283018
design_cv,7,tda_only,tda_only_168h_h0_h1_C0.01,5,57,0.5540465835969878,0.0
design_cv,7,tda_only,tda_only_168h_h0_h1_C0.01,6,11,0.6237760811048007,0.0
design_cv,7,tda_only,tda_only_168h_h0_h1_C0.01,7,1,0.7104251983754085,0.0
design_cv,8,market_probability,market_probability,0,11693,0.0284019941628513,0.0
design_cv,8,market_probability,market_probability,1,2202,0.1409877384196185,0.1176203451407811
design_cv,8,market_probability,market_probability,2,935,0.2469390374331551,0.0823529411764705
design_cv,8,market_probability,market_probability,3,1250,0.34864,0.0
design_cv,8,market_probability,market_probability,4,570,0.4450526315789473,0.3192982456140351
design_cv,8,market_probability,market_probability,5,463,0.5594492440604751,0.3974082073434125
design_cv,8,market_probability,market_probability,6,529,0.6340916824196597,0.5784499054820416
design_cv,8,market_probability,market_probability,7,229,0.747174672489083,0.2576419213973799
design_cv,8,market_probability,market_probability,8,277,0.8401985559566787,1.0
design_cv,8,pca_only,pca_only_fixed_5_C0.01,0,15141,0.0159809821436485,0.0221914008321775
design_cv,8,pca_only,pca_only_fixed_5_C0.01,1,1093,0.1362944700021377,0.0
design_cv,8,pca_only,pca_only_fixed_5_C0.01,2,416,0.2419257707030527,0.4375
design_cv,8,pca_only,pca_only_fixed_5_C0.01,3,120,0.3751385786488763,0.575
design_cv,8,pca_only,pca_only_fixed_5_C0.01,4,299,0.4487278457394539,0.2976588628762542
design_cv,8,pca_only,pca_only_fixed_5_C0.01,5,402,0.5428851672000811,0.8109452736318408
design_cv,8,pca_only,pca_only_fixed_5_C0.01,6,155,0.6659833416687003,0.0387096774193548
design_cv,8,pca_only,pca_only_fixed_5_C0.01,7,182,0.7498168268751989,0.0274725274725274
design_cv,8,pca_only,pca_only_fixed_5_C0.01,8,232,0.8596410390561162,0.961206896551724
design_cv,8,pca_only,pca_only_fixed_5_C0.01,9,108,0.9095256772406898,1.0
