market_id,usable_points,timestamp_min,timestamp_max,min_price,max_price,unique_transactions,observed_days,question,market_family,asset,is_core,is_satellite,resolved_outcome,start_date,close_date,volume_clob
513709,4000,2024-11-25 10:10:22+00:00,2024-11-29 19:22:01+00:00,0.001,0.42000000000000004,4000,4.383090277777778,"Bitcoin above $100,000 on November 29?",btc_price,BTC,True,False,No,,2024-11-29 19:18:49+00:00,4523995.670607
514215,4000,2024-12-06 03:35:07+00:00,2024-12-06 19:19:31+00:00,0.45152065098155314,0.999,4000,0.6558333333333334,"Bitcoin above $98,000 on December 6?",btc_price,BTC,True,False,Yes,,2024-12-06 19:24:58+00:00,10177786.150918
514251,3752,2024-11-27 20:57:50+00:00,2024-12-02 07:10:26+00:00,0.001,0.53,3752,4.425416666666667,Will Bitcoin hit $100k by Sunday?,btc_price,BTC,True,False,No,,2024-12-02 07:08:02+00:00,4426146.357732
514368,4000,2024-12-23 14:47:43+00:00,2025-01-01 07:24:24+00:00,0.000999999001000007,0.2,4000,8.692141203703704,"Will Bitcoin reach $110,000 in December?",btc_price,BTC,True,False,No,,2025-01-01 07:22:12+00:00,10676794.972932
514369,4000,2024-12-19 09:18:21+00:00,2025-01-01 06:36:29+00:00,0.000999999001000007,0.14,4000,12.887592592592593,"Will Bitcoin reach $120,000 in December?",btc_price,BTC,True,False,No,,2025-01-01 07:32:46+00:00,5031605.044538
514370,4000,2024-12-26 16:56:06+00:00,2025-01-01 07:31:16+00:00,0.000999999001000007,0.009523809523809525,4000,5.607754629629629,"Will Bitcoin reach $130,000 in December?",btc_price,BTC,True,False,No,,2025-01-01 07:32:34+00:00,6174845.90904198
514371,4000,2024-12-30 01:25:44+00:00,2025-01-01 07:28:00+00:00,0.001,0.5486896416169822,4000,2.251574074074074,"Will Bitcoin reach $90,000 in December?",btc_price,BTC,True,False,No,,2025-01-01 07:27:22+00:00,8400868.19698
514949,4000,2024-12-13 09:12:15+00:00,2024-12-13 19:08:56+00:00,0.37,0.999,4000,0.4143634259259259,"Bitcoin above $100,000 on December 13?",btc_price,BTC,True,False,Yes,,2024-12-13 19:06:44+00:00,7211697.798539
515502,4000,2025-03-20 17:28:52+00:00,2025-04-01 08:00:20+00:00,0.000999999001000007,0.0020000000000000018,4000,11.605185185185185,"Will Bitcoin reach $200,000 by March 31?",btc_price,BTC,True,False,No,,2025-04-01 08:01:20+00:00,6211260.142575
515503,4000,2025-03-25 05:06:20+00:00,2025-04-01 07:47:34+00:00,0.000999999001000007,0.003000000012,4000,7.111967592592593,"Will Bitcoin reach $150,000 by March 31?",btc_price,BTC,True,False,No,,2025-04-01 07:51:30+00:00,4273926.841544
515505,4000,2025-03-27 06:13:29+00:00,2025-04-01 07:30:16+00:00,0.000999999001000007,0.0050000000000000044,4000,5.053321759259259,"Will Bitcoin reach $120,000 by March 31?",btc_price,BTC,True,False,No,,2025-04-01 07:51:34+00:00,4250183.439874
515506,4000,2025-03-26 10:49:23+00:00,2025-04-01 07:12:26+00:00,0.000999999001000007,0.007000000000000006,4000,5.849340277777777,"Will Bitcoin reach $110,000 by March 31?",btc_price,BTC,True,False,No,,2025-04-01 07:46:38+00:00,6976571.855402
515539,4000,2024-12-19 20:30:31+00:00,2024-12-20 19:11:53+00:00,0.001,0.35,4000,0.9453935185185185,"Bitcoin above $100,000 on December 20?",btc_price,BTC,True,False,No,,2024-12-20 19:09:29+00:00,10202409.081955
515557,4000,2025-03-23 23:27:10+00:00,2025-04-01 07:50:42+00:00,0.000999999001000007,0.04585714285714286,4000,8.349675925925926,"Will Bitcoin dip to $70,000 by March 31?",btc_price,BTC,True,False,No,,2025-04-01 07:51:54+00:00,5033087.295531
516008,4000,2025-03-14 08:39:58+00:00,2025-03-19 21:27:21+00:00,0.000999999001000007,0.012085853877378568,4000,5.532905092592593,Fed decreases interest rates by 50+ bps after March 2025 meeting?,crypto_policy,,False,True,No,,2025-03-19 21:31:55+00:00,22150914.603213
516009,4000,2025-03-16 11:23:02+00:00,2025-03-19 21:38:19+00:00,0.001,0.014000000280000006,4000,3.427280092592593,Fed decreases interest rates by 25 bps after March 2025 meeting?,crypto_policy,,False,True,No,,2025-03-19 21:36:45+00:00,17180913.164155
516010,4000,2025-03-17 13:25:53+00:00,2025-03-19 21:26:57+00:00,0.9849999997478992,0.999,4000,2.334074074074074,No change in Fed interest rates after March 2025 meeting?,crypto_policy,,False,True,Yes,,2025-03-19 21:31:51+00:00,17161804.938166
516011,4000,2025-03-11 08:43:14+00:00,2025-03-19 20:13:14+00:00,0.001,0.0030000000054545453,4000,8.479166666666666,Fed increases interest rates by 25+ bps after March 2025 meeting?,crypto_policy,,False,True,No,,2025-03-19 21:31:45+00:00,21544318.532625
516117,4000,2024-12-26 22:32:16+00:00,2024-12-27 19:09:27+00:00,0.000999999001000007,0.5748706149420706,4000,0.8591550925925926,"Bitcoin above $97,000 on December 27?",btc_price,BTC,True,False,No,,2024-12-27 19:06:43+00:00,5824195.27295
516349,4000,2024-12-30 11:40:26+00:00,2025-01-01 07:50:34+00:00,0.0009999991008998732,0.12297646161015596,4000,1.8403703703703704,Will Bitcoin hit $100k again in 2024?,btc_price,BTC,True,False,No,,2025-01-01 07:48:08+00:00,6225944.470833
516498,4000,2025-01-02 13:17:11+00:00,2025-01-03 19:35:01+00:00,0.8,0.999000000999,4000,1.2623842592592593,"Bitcoin above $94,000 on January 3?",btc_price,BTC,True,False,Yes,,2025-01-03 19:31:47+00:00,5987591.33862
516729,4000,2025-08-20 06:25:13+00:00,2025-12-10 19:00:16+00:00,0.001,0.019,4000,112.52434027777778,Will 8+ Fed rate cuts happen in 2025?,crypto_policy,,False,True,No,,2025-12-10 22:17:52+00:00,3970078.575117
516730,4000,2025-08-08 02:22:51+00:00,2025-12-10 19:00:14+00:00,0.001,0.008000000000000007,4000,124.69262731481481,Will 7 Fed rate cuts happen in 2025?,crypto_policy,,False,True,No,,2025-12-10 22:18:50+00:00,6045992.73764
516861,4000,2025-12-24 10:56:41+00:00,2026-01-01 07:05:25+00:00,0.000999999001000007,0.010000000000000009,4000,7.839398148148148,"Will Bitcoin reach $1,000,000 by December 31, 2025?",btc_price,BTC,True,False,No,,2026-01-01 07:20:31+00:00,31394607.518008
516862,4000,2025-12-26 07:01:45+00:00,2026-01-01 02:11:43+00:00,0.000999999001000007,0.36,4000,5.798587962962963,"Will Bitcoin reach $250,000 by December 31, 2025?",btc_price,BTC,True,False,No,,2026-01-01 07:20:29+00:00,15857522.578687
