fold,model,model_type,feature_group,slice_type,slice_value,n_obs,brier,log_loss,avg_pred,avg_actual,auc
1,market_probability,market,market,overall,overall,14850,0.07104304909646371,0.23725722989956416,0.179405893858482,0.08653198653198653,0.9155148076490052
1,market_probability,market,market,broad_domain,crypto,5721,0.10292720341723476,0.3283716233994681,0.2327158713511624,0.0,
1,market_probability,market,market,broad_domain,macro,9129,0.05106175356911887,0.18015727971740284,0.14599737362235268,0.1407602147004053,0.9671714185369571
1,market_probability,market,market,broad_family,crypto_btc,3112,0.10382992794023138,0.31725653311419505,0.21973312982005144,0.0,
1,market_probability,market,market,broad_family,crypto_eth,1937,0.1300533144037171,0.40982663859486096,0.28801910170366546,0.0,
1,market_probability,market,market,broad_family,crypto_microstrategy,336,0.006762648809523811,0.08560450434664942,0.08202380952380951,0.0,
1,market_probability,market,market,broad_family,crypto_policy,336,0.03435200892857143,0.20450718451863822,0.18483630952380953,0.0,
1,market_probability,market,market,broad_family,macro_fed_rates,9129,0.05106175356911887,0.18015727971740284,0.14599737362235268,0.1407602147004053,0.9671714185369571
1,market_probability,market,market,Y_i,0,13565,0.054511251683191014,0.1922510710807596,0.14479450967920807,0.0,
1,market_probability,market,market,Y_i,1,1285,0.24555964980544748,0.7123611554848435,0.5447782101167314,1.0,
1,market_probability,market,market,active_count_bucket,26-50,1740,0.059652435201149434,0.22211907261347627,0.20237844827586207,0.1,0.975282952393535
1,market_probability,market,market,active_count_bucket,51-100,13110,0.07255484682169994,0.23926641324645911,0.17635690494267411,0.08474446987032799,0.9081318207660419
1,market_probability,market,market,prob_bucket,0-5%,5606,0.00034985481314415913,0.015487443233763784,0.015309048126731681,0.0,
1,market_probability,market,market,prob_bucket,5-10%,2545,0.005059193811394892,0.07266972669960915,0.07000648330058938,0.0,
1,market_probability,market,market,prob_bucket,10-25%,2758,0.08194249265772297,0.30825982116091605,0.16156580855692532,0.0830311820159536,0.6035809932296281
1,market_probability,market,market,prob_bucket,25-50%,2093,0.13860311753463928,0.46160979308464833,0.35661012900143335,0.022933588150979456,0.44024042379788103
1,market_probability,market,market,prob_bucket,50-75%,1493,0.2619776456798393,0.7216857852180854,0.6222337575351641,0.5679839249832552,0.45281647652479157
1,market_probability,market,market,prob_bucket,75-90%,354,0.3731835451977401,1.003791421987526,0.7861723163841808,0.4519774011299435,0.2802029639175258
1,market_probability,market,market,prob_bucket,90-95%,1,0.819025,2.3538783873815965,0.905,0.0,
1,logit_pca_controls,logit,pca_controls,overall,overall,14850,0.03226389406933438,0.1371905161849762,0.10680511222395023,0.08653198653198653,0.91421505620008
1,logit_pca_controls,logit,pca_controls,broad_domain,crypto,5721,0.014702546897944162,0.06889569677147418,0.05823896244117698,0.0,
1,logit_pca_controls,logit,pca_controls,broad_domain,macro,9129,0.04326931275347542,0.1799897999909402,0.13724075061887253,0.1407602147004053,0.9262382509519282
1,logit_pca_controls,logit,pca_controls,broad_family,crypto_btc,3112,0.009537810226348224,0.052973024933581685,0.046904210297021694,0.0,
1,logit_pca_controls,logit,pca_controls,broad_family,crypto_eth,1937,0.027658895933517898,0.1071637199816521,0.08566809077258913,0.0,
1,logit_pca_controls,logit,pca_controls,broad_family,crypto_microstrategy,336,0.0005954397091174861,0.022895884587876232,0.022591506267226506,0.0,
1,logit_pca_controls,logit,pca_controls,broad_family,crypto_policy,336,0.001953143491831017,0.04175918098306861,0.040742154015918915,0.0,
1,logit_pca_controls,logit,pca_controls,broad_family,macro_fed_rates,9129,0.04326931275347542,0.1799897999909402,0.13724075061887253,0.1407602147004053,0.9262382509519282
1,logit_pca_controls,logit,pca_controls,Y_i,0,13565,0.013025592831895302,0.06147338346345064,0.052056376293434084,0.0,
1,logit_pca_controls,logit,pca_controls,Y_i,1,1285,0.23535148650969326,0.936492388066295,0.6847557759573755,1.0,
1,logit_pca_controls,logit,pca_controls,active_count_bucket,26-50,1740,0.01466143730327002,0.057808657279037536,0.09639930389315386,0.1,1.0
1,logit_pca_controls,logit,pca_controls,active_count_bucket,51-100,13110,0.0346001469124276,0.1477263235454898,0.10818620348982252,0.08474446987032799,0.896997379544605
1,logit_pca_controls,logit,pca_controls,prob_bucket,0-5%,5606,0.0001996869332060029,0.009196879398582696,0.009093747704086034,0.0,
1,logit_pca_controls,logit,pca_controls,prob_bucket,5-10%,2545,0.0013898981807684264,0.024855469853889048,0.024111757154936932,0.0,
1,logit_pca_controls,logit,pca_controls,prob_bucket,10-25%,2758,0.08214830223035058,0.3659582904572555,0.030848817181362734,0.0830311820159536,0.38125948603189896
1,logit_pca_controls,logit,pca_controls,prob_bucket,25-50%,2093,0.060517718993236734,0.2239798900544407,0.14328573814344964,0.022933588150979456,0.5618021597392013
1,logit_pca_controls,logit,pca_controls,prob_bucket,50-75%,1493,0.059583192902309054,0.22950623299572753,0.5814722486250294,0.5679839249832552,0.994648603188533
1,logit_pca_controls,logit,pca_controls,prob_bucket,75-90%,354,0.08964347506388635,0.283548145640744,0.6210722880143695,0.4519774011299435,1.0
1,logit_pca_controls,logit,pca_controls,prob_bucket,90-95%,1,0.5419905320925236,1.3325642757946936,0.7362000625458569,0.0,
1,logit_pca_controls_static_topology,logit,pca_controls_static,overall,overall,14850,0.03025132143491188,0.13049883942748405,0.09826731484574622,0.08653198653198653,0.9254211671430682
1,logit_pca_controls_static_topology,logit,pca_controls_static,broad_domain,crypto,5721,0.014896470662495451,0.06096126986147445,0.04902065599741794,0.0,
1,logit_pca_controls_static_topology,logit,pca_controls_static,broad_domain,macro,9129,0.039873963703396305,0.17407693511015915,0.12912941751540183,0.1407602147004053,0.9353097958835423
1,logit_pca_controls_static_topology,logit,pca_controls_static,broad_family,crypto_btc,3112,0.005587877389605796,0.0331480625995148,0.029690250045089593,0.0,
1,logit_pca_controls_static_topology,logit,pca_controls_static,broad_family,crypto_eth,1937,0.034768306722756444,0.11836790402528137,0.08878545283555886,0.0,
1,logit_pca_controls_static_topology,logit,pca_controls_static,broad_family,crypto_microstrategy,336,0.00031021860634108153,0.016615306160318432,0.016457716319392763,0.0,
1,logit_pca_controls_static_topology,logit,pca_controls_static,broad_family,crypto_policy,336,0.0011392578868256137,0.03196809851478662,0.03138065474736832,0.0,
1,logit_pca_controls_static_topology,logit,pca_controls_static,broad_family,macro_fed_rates,9129,0.039873963703396305,0.17407693511015915,0.12912941751540183,0.1407602147004053,0.9353097958835423
1,logit_pca_controls_static_topology,logit,pca_controls_static,Y_i,0,13565,0.011070840221877232,0.05044338342867494,0.042135313303040385,0.0,
1,logit_pca_controls_static_topology,logit,pca_controls_static,Y_i,1,1285,0.2327285413997484,0.9755978749324222,0.6908203116759444,1.0,
1,logit_pca_controls_static_topology,logit,pca_controls_static,active_count_bucket,26-50,1740,0.011480168484094853,0.04934718865151956,0.09888120742075365,0.1,1.0
1,logit_pca_controls_static_topology,logit,pca_controls_static,active_count_bucket,51-100,13110,0.03274268727277776,0.14126953907280657,0.09818583711267885,0.08474446987032799,0.9105286601666251
1,logit_pca_controls_static_topology,logit,pca_controls_static,prob_bucket,0-5%,5606,4.6116203232162426e-05,0.005573705676816555,0.005550447226156846,0.0,
1,logit_pca_controls_static_topology,logit,pca_controls_static,prob_bucket,5-10%,2545,0.0008142202827734495,0.018096183884107588,0.017666608673455153,0.0,
1,logit_pca_controls_static_topology,logit,pca_controls_static,prob_bucket,10-25%,2758,0.08235462238580832,0.38038129384504726,0.02483389343521497,0.0830311820159536,0.43073448434837114
1,logit_pca_controls_static_topology,logit,pca_controls_static,prob_bucket,25-50%,2093,0.04953820915946799,0.1963332142065473,0.1200469148161859,0.022933588150979456,0.5883200896495518
1,logit_pca_controls_static_topology,logit,pca_controls_static,prob_bucket,50-75%,1493,0.053504799310133716,0.2024942932277629,0.5730138541893753,0.5679839249832552,0.9970125786163522
1,logit_pca_controls_static_topology,logit,pca_controls_static,prob_bucket,75-90%,354,0.10049892770239373,0.273174081759212,0.5851475374619717,0.4519774011299435,1.0
1,logit_pca_controls_static_topology,logit,pca_controls_static,prob_bucket,90-95%,1,0.6245991659605924,1.5621529980958264,0.7903158646772772,0.0,
1,logit_pca_controls_dynamic_topology,logit,pca_controls_dynamic,overall,overall,14850,0.03261830138915259,0.13907046341165594,0.09768397462132027,0.08653198653198653,0.9170027866978563
