fold,split,representation,model,pca_setting,tda_window,tda_group,c_value,n_components,train_start,train_end,test_start,test_end,status,eval_group_type,eval_group,n_obs,brier,log_loss,avg_pred,avg_actual,ece
1,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_eth,1680,0.0003115032940781,0.0154634156801158,0.0153049556679254,0.0,0.0153049556679254
1,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.0001395798137043,0.011714966750801,0.0116446011190527,0.0,0.0116446011190527
1,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.0171250698616653,0.1375005865125147,0.1280485950726644,0.0,0.1280485950726644
1,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,macro_fed_rates,5040,0.0761227209918221,0.2665601435371272,0.1361872693912602,0.2,0.1086924255245618
1,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,active_market_count_bucket,26-50,11422,0.0398698102728516,0.1486479358889877,0.0867636730978138,0.0882507441779023,0.0531842193940612
1,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,overall,overall,11422,0.040251711423139,0.1485388002003692,0.0894213866532215,0.0882507441779023,0.0567418975400204
1,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_btc,4030,0.0183606805349589,0.0721107194871494,0.0586537249094454,0.0,0.0586537249094454
1,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_eth,1680,0.0002302005509523,0.0131923177513987,0.0130754977337023,0.0,0.0130754977337023
1,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,9.324447685833008e-05,0.0096743854092968,0.0096274580676021,0.0,0.0096274580676021
1,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.0170053705969904,0.1380891840454649,0.1287266081590337,0.0,0.1287266081590337
1,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,macro_fed_rates,5040,0.0753233400255548,0.2647206990468761,0.1421711834371551,0.2,0.1061099099117517
1,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,active_market_count_bucket,26-50,11422,0.040251711423139,0.1485388002003692,0.0894213866532215,0.0882507441779023,0.0567418975400204
2,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,overall,overall,11014,0.0528387542757557,0.1920588495739344,0.1937411901827317,0.0897948066097693,0.1196086640543374
2,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_btc,3696,0.0663290791396103,0.2414810262069037,0.192163961038961,0.0,0.192163961038961
2,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_eth,1680,0.021113447172619,0.1434598244692999,0.1313473214285714,0.0,0.1313473214285714
2,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.0111881696428571,0.110343591109055,0.1043005952380952,0.0,0.1043005952380952
2,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.1534822916666667,0.4968199268765687,0.3911309523809523,0.0,0.3911309523809524
2,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,macro_fed_rates,4966,0.0495396489817102,0.1566256240827637,0.2087190835023373,0.1991542488924688,0.1096462597451615
2,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,active_market_count_bucket,26-50,11014,0.0528387542757557,0.1920588495739344,0.1937411901827317,0.0897948066097693,0.1196086640543374
