fold,model,model_type,feature_group,category,slice_type,slice_value,n_obs,brier,log_loss,avg_pred,avg_actual,auc
1,logit_pca_controls,logit,pca_controls,logistic,broad_family,macro_fed_rates,9129,0.04326931852154385,0.17998981465723454,0.13724077601371723,0.1407602147004053,0.9262382509519282
1,logit_pca_controls,logit,pca_controls,logistic,Y_i,0,13565,0.013025600546585863,0.061473404982149434,0.052056390958681725,0.0,
1,logit_pca_controls,logit,pca_controls,logistic,Y_i,1,1285,0.2353514558863934,0.9364923005328505,0.6847558294602474,1.0,
1,logit_pca_controls,logit,pca_controls,logistic,active_count_bucket,26-50,1740,0.014661433963024922,0.05780865353107307,0.09639932183391,0.1,1.0
1,logit_pca_controls,logit,pca_controls,logistic,active_count_bucket,51-100,13110,0.034600152336597204,0.14772633772871874,0.10818622152707338,0.08474446987032799,0.896997379544605
1,logit_pca_controls,logit,pca_controls,logistic,prob_bucket,0-5%,5606,0.00019968725354659338,0.009196883456025977,0.00909375159146919,0.0,
1,logit_pca_controls,logit,pca_controls,logistic,prob_bucket,5-10%,2545,0.001389900398834012,0.024855483726724005,0.024111769783054328,0.0,
1,logit_pca_controls,logit,pca_controls,logistic,prob_bucket,10-25%,2758,0.08214830321151324,0.36595829254289014,0.030848822453790274,0.0830311820159536,0.38125948603189896
1,logit_pca_controls,logit,pca_controls,logistic,prob_bucket,25-50%,2093,0.060517758036020775,0.2239799748137796,0.14328578638650608,0.022933588150979456,0.5618021597392013
1,logit_pca_controls,logit,pca_controls,logistic,prob_bucket,50-75%,1493,0.059583171400623226,0.2295061819264668,0.5814723045784316,0.5679839249832552,0.994648603188533
1,logit_pca_controls,logit,pca_controls,logistic,prob_bucket,75-90%,354,0.08964349062571847,0.2835481862838734,0.6210723294893506,0.4519774011299435,1.0
1,logit_pca_controls,logit,pca_controls,logistic,prob_bucket,90-95%,1,0.5419905606581609,1.3325643493380408,0.7362000819465866,0.0,
1,logit_pca_topology,logit,pca_topology,logistic,overall,overall,14850,0.03335611509498868,0.1367987559771812,0.07398517057052921,0.08653198653198653,0.9352585117627907
1,logit_pca_topology,logit,pca_topology,logistic,broad_domain,crypto,5721,0.012748515510523015,0.053662467823897796,0.04376589800418724,0.0,
1,logit_pca_topology,logit,pca_topology,logistic,broad_domain,macro,9129,0.04627057201499395,0.18889895364668874,0.09292311101877573,0.1407602147004053,0.9535340402439
1,logit_pca_topology,logit,pca_topology,logistic,broad_family,crypto_btc,3112,0.003302841708820925,0.02579589492135809,0.023886715992077905,0.0,
1,logit_pca_topology,logit,pca_topology,logistic,broad_family,crypto_eth,1937,0.032286763943729195,0.11341195228071216,0.0872798827439857,0.0,
1,logit_pca_topology,logit,pca_topology,logistic,broad_family,crypto_microstrategy,336,2.7573721766961033e-05,0.004781158585153986,0.00476730558615248,0.0,
1,logit_pca_topology,logit,pca_topology,logistic,broad_family,crypto_policy,336,0.000318712227185401,0.016192656466969407,0.016030639174289395,0.0,
1,logit_pca_topology,logit,pca_topology,logistic,broad_family,macro_fed_rates,9129,0.04627057201499395,0.18889895364668874,0.09292311101877573,0.1407602147004053,0.9535340402439
1,logit_pca_topology,logit,pca_topology,logistic,Y_i,0,13565,0.006088922040736093,0.03137506564476196,0.026788988083772124,0.0,
1,logit_pca_topology,logit,pca_topology,logistic,Y_i,1,1285,0.3212000635626434,1.249695533688673,0.5722079063159454,1.0,
1,logit_pca_topology,logit,pca_topology,logistic,active_count_bucket,26-50,1740,0.013884563597280538,0.05922798427913527,0.1008630591558346,0.1,1.0
1,logit_pca_topology,logit,pca_topology,logistic,active_count_bucket,51-100,13110,0.03594044000772798,0.1470941902071278,0.07041785355005391,0.08474446987032799,0.9293744400692258
1,logit_pca_topology,logit,pca_topology,logistic,prob_bucket,0-5%,5606,1.0017459051073146e-05,0.00266492921996837,0.002659901434878641,0.0,
1,logit_pca_topology,logit,pca_topology,logistic,prob_bucket,5-10%,2545,5.00358274630895e-05,0.005152467997467282,0.005127180265118062,0.0,
1,logit_pca_topology,logit,pca_topology,logistic,prob_bucket,10-25%,2758,0.08167614825578082,0.3992530446632574,0.012678060649038491,0.0830311820159536,0.4642979861553577
1,logit_pca_topology,logit,pca_topology,logistic,prob_bucket,25-50%,2093,0.026649075885111718,0.13046486611013772,0.06791681710991782,0.022933588150979456,0.6378005297473512
1,logit_pca_topology,logit,pca_topology,logistic,prob_bucket,50-75%,1493,0.11857551891548107,0.3462585746233533,0.47405162540763,0.5679839249832552,0.9438295304958314
1,logit_pca_topology,logit,pca_topology,logistic,prob_bucket,75-90%,354,0.10311577460017918,0.31302361519830346,0.5228349014062091,0.4519774011299435,1.0
1,logit_pca_topology,logit,pca_topology,logistic,prob_bucket,90-95%,1,0.5792434379890726,1.4316283577956477,0.7610804412078086,0.0,
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,overall,overall,14850,0.030251189311651362,0.1304986562470114,0.09826677835186556,0.08653198653198653,0.9254211097740953
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,broad_domain,crypto,5721,0.01489621912575932,0.060960481093026674,0.049020108884538866,0.0,
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,broad_domain,macro,9129,0.039873906414673414,0.17407713144209813,0.1291288876762796,0.1407602147004053,0.9353097958835423
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,broad_family,crypto_btc,3112,0.005587741690277827,0.03314757515227153,0.02968985577933983,0.0,
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,broad_family,crypto_eth,1937,0.034767789457817305,0.11836648509847335,0.0887845939599231,0.0,
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,broad_family,crypto_microstrategy,336,0.00031020873464346403,0.01661504669293043,0.01645746190615945,0.0,
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,broad_family,crypto_policy,336,0.0011392237014647506,0.03196762242490808,0.031380196554466305,0.0,
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,broad_family,macro_fed_rates,9129,0.039873906414673414,0.17407713144209813,0.1291288876762796,0.1407602147004053,0.9353097958835423
1,logit_pca_controls_topology,logit,pca_controls_topology,logistic,Y_i,0,13565,0.011070633038547007,0.05044271516534346,0.0421348280672634,0.0,
