fold,representation,model,class_weight,prob_decile,n_obs,avg_pred,avg_actual
1,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,1,798,0.14604455458268628,0.03132832080200501
1,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,2,450,0.2455333787310304,0.04888888888888889
1,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,3,288,0.3619386596557115,0.4027777777777778
1,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,4,302,0.45043998045003186,0.3708609271523179
1,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,5,301,0.5516396847579191,0.6644518272425249
1,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,6,323,0.6407709549835081,0.826625386996904
1,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,7,221,0.7636220206137676,0.4660633484162896
1,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,8,524,0.8440414434945472,0.3511450381679389
1,pca_plus_scalar_tda,pca_plus_scalar_tda_24h_standard,standard,9,44,0.9163801187482069,0.6136363636363636
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,0,9143,0.04130356680592152,0.007546757081920595
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,1,1274,0.1477895447802845,0.10047095761381476
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,2,678,0.2410830053451204,0.03982300884955752
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,3,430,0.34752035009077503,0.013953488372093023
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,4,342,0.4454768255798759,0.005847953216374269
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,5,344,0.5509713339335448,0.00872093023255814
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,6,347,0.6458739365227532,0.11527377521613832
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,7,318,0.7490742191201476,0.0
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,8,445,0.8583686458094615,0.4337078651685393
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_balanced,balanced,9,1529,0.9615753654440097,0.5343361674296926
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,0,11574,0.01889400264755124,0.02004492828754104
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,1,888,0.1434870452362963,0.0472972972972973
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,2,377,0.2488926775843191,0.005305039787798408
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,3,283,0.35118169324302334,0.3286219081272085
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,4,266,0.44562574152193174,0.42857142857142855
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,5,355,0.5480437035990408,0.6084507042253521
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,6,340,0.6360650373433957,0.8647058823529412
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,7,222,0.770024367898936,0.35135135135135137
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,8,502,0.8489703995874823,0.39641434262948205
1,pca_plus_scalar_tda,pca_plus_scalar_tda_72h_standard,standard,9,43,0.9095484928392887,0.3488372093023256
1,scalar_tda,scalar_tda_168h_balanced,balanced,0,13162,0.00907086968818885,0.043230512080230966
1,scalar_tda,scalar_tda_168h_balanced,balanced,1,448,0.14707915555086656,0.48214285714285715
1,scalar_tda,scalar_tda_168h_balanced,balanced,2,410,0.25391955455796394,0.3926829268292683
1,scalar_tda,scalar_tda_168h_balanced,balanced,3,249,0.3469669865225821,0.2931726907630522
1,scalar_tda,scalar_tda_168h_balanced,balanced,4,134,0.4397956676834386,0.35074626865671643
1,scalar_tda,scalar_tda_168h_balanced,balanced,5,64,0.5613136445276217,0.203125
1,scalar_tda,scalar_tda_168h_balanced,balanced,6,97,0.644672399162862,0.32989690721649484
1,scalar_tda,scalar_tda_168h_balanced,balanced,7,87,0.7660719375221331,0.40229885057471265
1,scalar_tda,scalar_tda_168h_balanced,balanced,8,88,0.8164001730981618,0.9204545454545454
1,scalar_tda,scalar_tda_168h_balanced,balanced,9,111,0.9309110728924856,0.5225225225225225
1,scalar_tda,scalar_tda_168h_standard,standard,0,14407,0.0053740549756000735,0.07406122024016103
1,scalar_tda,scalar_tda_168h_standard,standard,1,180,0.1447483889349444,0.24444444444444444
1,scalar_tda,scalar_tda_168h_standard,standard,2,35,0.2373402371585808,0.11428571428571428
1,scalar_tda,scalar_tda_168h_standard,standard,3,112,0.3190269620046382,1.0
1,scalar_tda,scalar_tda_168h_standard,standard,4,12,0.4827614761852684,0.0
1,scalar_tda,scalar_tda_168h_standard,standard,5,81,0.5484792053145534,0.43209876543209874
1,scalar_tda,scalar_tda_168h_standard,standard,6,23,0.6410870892072632,1.0
1,scalar_tda,scalar_tda_24h_balanced,balanced,0,12751,0.00949269322481647,0.03717355501529292
1,scalar_tda,scalar_tda_24h_balanced,balanced,1,805,0.13580730421858234,0.4335403726708075
1,scalar_tda,scalar_tda_24h_balanced,balanced,2,254,0.24711934604334762,0.3661417322834646
1,scalar_tda,scalar_tda_24h_balanced,balanced,3,277,0.34365732604764143,0.26353790613718414
1,scalar_tda,scalar_tda_24h_balanced,balanced,4,297,0.4449926523987288,0.23232323232323232
1,scalar_tda,scalar_tda_24h_balanced,balanced,5,139,0.5465598746481978,0.2805755395683453
1,scalar_tda,scalar_tda_24h_balanced,balanced,6,41,0.6281393827395798,0.34146341463414637
1,scalar_tda,scalar_tda_24h_balanced,balanced,7,46,0.7400675876362174,0.0
1,scalar_tda,scalar_tda_24h_balanced,balanced,8,119,0.8831445466452278,0.9327731092436975
1,scalar_tda,scalar_tda_24h_balanced,balanced,9,121,0.9576051216353328,0.5206611570247934
1,scalar_tda,scalar_tda_24h_standard,standard,0,14359,0.006313623893378188,0.07403022494602689
1,scalar_tda,scalar_tda_24h_standard,standard,1,206,0.12367546955725944,0.23300970873786409
1,scalar_tda,scalar_tda_24h_standard,standard,2,45,0.23716946664519487,0.0
1,scalar_tda,scalar_tda_24h_standard,standard,3,18,0.3716767162568143,0.5555555555555556
1,scalar_tda,scalar_tda_24h_standard,standard,4,106,0.42797472724197694,1.0
1,scalar_tda,scalar_tda_24h_standard,standard,5,2,0.5716084832285571,0.0
