panel,fold,model,n_components,compression_ratio,train_start,train_end,test_start,test_end,observed_cells,rmse,mae,bias
core,3,fixed_10,10,0.47619047619047616,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,5712,0.018836705629948318,0.010657796744601834,0.0014560526750402882
core,4,train_mean,0,0.0,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,5712,0.20431287541031357,0.15942884740622007,0.15937743284039374
core,4,last_train_state,0,0.0,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,5712,0.040867140423727764,0.020133023791892284,0.009419963567802647
core,4,fixed_2,2,0.09523809523809523,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,5712,0.07395866433076763,0.0449790624673616,0.0352289794606105
core,4,var_85,4,0.19047619047619047,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,5712,0.04448559673278761,0.025830996807583915,0.013792408145324717
core,4,fixed_5,5,0.23809523809523808,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,5712,0.038150954247268734,0.02245860409476647,0.010228216881426284
core,4,var_90,5,0.23809523809523808,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,5712,0.038150954247268734,0.02245860409476647,0.010228216881426284
core,4,var_95,6,0.2857142857142857,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,5712,0.03270822518016768,0.01969523888137099,0.0070385999982763145
core,4,fixed_10,10,0.47619047619047616,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,5712,0.012712427919514534,0.006649061490539545,-0.0007233320495892683
core,5,train_mean,0,0.0,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,5712,0.21967476373820205,0.16909582383302724,0.16909582383302724
core,5,last_train_state,0,0.0,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,5712,0.03646040353333296,0.016612890120711894,0.016365335961642583
core,5,fixed_2,2,0.09523809523809523,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,5712,0.05761297486634797,0.033650975774270536,0.026972425104721077
core,5,var_85,3,0.14285714285714285,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,5712,0.03395227562312642,0.01856751910255198,0.010392050769333094
core,5,var_90,4,0.19047619047619047,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,5712,0.03366216322535653,0.01836859767939493,0.010422525565928766
core,5,fixed_5,5,0.23809523809523808,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,5712,0.029205127924648223,0.016431146972741624,0.008205081522976429
core,5,var_95,6,0.2857142857142857,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,5712,0.022359172792714658,0.013109478035665135,0.004938998409997903
core,5,fixed_10,10,0.47619047619047616,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,5712,0.00930346904765414,0.005793110584915431,0.0007105644028985779
core,6,train_mean,0,0.0,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,5712,0.2184768746028655,0.1697168043057703,0.1697168043057703
core,6,last_train_state,0,0.0,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,5712,0.010443287713565414,0.004307782432370159,0.0036391324944702133
core,6,fixed_2,2,0.09523809523809523,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,5712,0.04325005890226146,0.026001130362436883,0.02298862069561964
core,6,var_85,3,0.14285714285714285,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,5712,0.024862258468916133,0.013818616658765343,0.009705852172261737
core,6,var_90,4,0.19047619047619047,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,5712,0.024596058216331627,0.01355390618394044,0.00949957236587153
core,6,fixed_5,5,0.23809523809523808,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,5712,0.02367253716606812,0.01305960802426258,0.00908513052501882
core,6,var_95,5,0.23809523809523808,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,5712,0.02367253716606812,0.01305960802426258,0.00908513052501882
core,6,fixed_10,10,0.47619047619047616,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,5712,0.009076497287624162,0.004986094230657088,0.0023965324327506984
core,7,train_mean,0,0.0,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,4471,0.21083484026838364,0.1637233790406046,0.1637233790406046
core,7,last_train_state,0,0.0,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,4471,0.0034191188638918323,0.002740411431328719,0.0026399518087940176
core,7,fixed_2,2,0.09523809523809523,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,4471,0.034877028820510046,0.020308186612514857,0.019133766534732918
core,7,var_85,3,0.14285714285714285,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,4471,0.021553075282808,0.010771764201866036,0.009204195752934848
core,7,var_90,4,0.19047619047619047,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,4471,0.021120002538691167,0.010534405603591314,0.008971752445851905
core,7,fixed_5,5,0.23809523809523808,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,4471,0.020936201043936484,0.010408421752630417,0.008870496256911635
core,7,var_95,5,0.23809523809523808,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,4471,0.020936201043936484,0.010408421752630417,0.008870496256911635
core,7,fixed_10,10,0.47619047619047616,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,4471,0.00900404955239753,0.004199920729050319,0.002876206503832125
core_plus_satellites,1,train_mean,0,0.0,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,8736,0.11472461249955772,0.07278972273130616,0.04251889583169434
core_plus_satellites,1,last_train_state,0,0.0,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,8736,0.08065097988023426,0.03703807029945053,-0.02897253279701465
core_plus_satellites,1,fixed_2,2,0.06666666666666667,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,8736,0.04014082654790499,0.022338072017138784,0.002464807440004803
core_plus_satellites,1,fixed_5,5,0.16666666666666666,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,8736,0.03521573924151489,0.018965258830935038,0.001434346009019407
core_plus_satellites,1,var_85,6,0.2,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,8736,0.03432545596010462,0.01808951849478153,-0.0010974281613418517
core_plus_satellites,1,var_90,7,0.23333333333333334,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,8736,0.03409630867549364,0.017989783870041,-0.0013281143659760275
core_plus_satellites,1,fixed_10,10,0.3333333333333333,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,8736,0.030078084763685876,0.016061696044829172,0.0010483525496964477
core_plus_satellites,1,var_95,10,0.3333333333333333,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,8736,0.030078084763685876,0.016061696044829172,0.0010483525496964477
core_plus_satellites,2,train_mean,0,0.0,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,8736,0.1096612289888928,0.07775070650802368,0.07583126671362819
core_plus_satellites,2,last_train_state,0,0.0,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,8736,0.029790900210222848,0.01701791169279826,0.004177816781379281
core_plus_satellites,2,fixed_2,2,0.06666666666666667,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,8736,0.04132919544257841,0.024581010315261036,0.0189014384006491
core_plus_satellites,2,fixed_5,5,0.16666666666666666,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,8736,0.034169823407992274,0.01872214347277537,0.013638978815268332
core_plus_satellites,2,var_85,6,0.2,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,8736,0.033531921690237367,0.01833221103022786,0.013647953274966006
