market_id,question,broad_domain,broad_family,resolved_outcome,Y_i,volume,start_date,end_date,close_date,active_start,active_end,active_duration_hours,observed_duration_hours,first_observed_timestamp,last_observed_timestamp,observed_hours,average_pairwise_overlap
1082748,"Will Bitcoin reach $150,000 in January?",crypto,crypto_btc,No,0,26660909.268647,2026-01-01 19:23:03.370206+00:00,2026-02-01 05:00:00+00:00,2026-02-01 07:48:00+00:00,2026-01-01 19:23:03.370206+00:00,2026-02-01 07:48:00+00:00,732.4157304983333,731.0,2026-01-01 20:00:00+00:00,2026-02-01 07:00:00+00:00,726,0.01939487259138958
572486,Will Trump nominate Michelle Bowman as the next Fed chair?,macro,macro_fed_rates,No,0,26000156.80356803,2025-08-05 17:28:33.331000+00:00,2026-12-31 00:00:00+00:00,2026-03-04 20:13:19+00:00,2025-08-05 17:28:33.331000+00:00,2026-12-31 00:00:00+00:00,12294.524074722221,4877.0,2025-08-13 15:00:00+00:00,2026-03-04 20:00:00+00:00,4866,0.011625048938097194
572506,Will Trump nominate no one before 2027?,macro,macro_fed_rates,No,0,24724502.6212151,2025-08-05 17:28:55.577000+00:00,2026-12-31 00:00:00+00:00,2026-03-04 19:58:01+00:00,2025-08-05 17:28:55.577000+00:00,2026-12-31 00:00:00+00:00,12294.517895277779,5065.0,2025-08-05 18:00:00+00:00,2026-03-04 19:00:00+00:00,5037,0.011625048938097194
572472,Will Trump nominate Bill Pulte as the next Fed chair?,macro,macro_fed_rates,No,0,24537484.808130994,2025-08-05 17:28:19.462000+00:00,2026-12-31 00:00:00+00:00,2026-03-04 20:09:07+00:00,2025-08-05 17:28:19.462000+00:00,2026-12-31 00:00:00+00:00,12294.527927222223,5066.0,2025-08-05 18:00:00+00:00,2026-03-04 20:00:00+00:00,5056,0.011625048938097194
1473040,"Will Bitcoin reach $150,000 in March?",crypto,crypto_btc,No,0,24149352.753224906,2026-03-01 05:18:31.379988+00:00,2026-04-01 04:00:00+00:00,2026-04-01 07:36:59+00:00,2026-03-01 05:18:31.379988+00:00,2026-04-01 07:36:59+00:00,746.3076722255556,744.0,2026-03-01 07:00:00+00:00,2026-04-01 07:00:00+00:00,654,0.018209069115374444
519784,Fed increases interest rates by 25+ bps after May 2025 meeting?,macro,macro_fed_rates,No,0,24000661.535559,2025-01-23 19:42:34.136277+00:00,2025-05-07 12:00:00+00:00,2025-05-07 22:33:14+00:00,2025-01-23 19:42:34.136277+00:00,2025-05-07 22:33:14+00:00,2498.8444065897224,2498.0,2025-01-23 20:00:00+00:00,2025-05-07 22:00:00+00:00,2499,0.007645022259583874
572494,Will Trump nominate himself as the next Fed chair?,macro,macro_fed_rates,No,0,23577646.036,2025-08-05 17:28:41.890000+00:00,2026-12-31 00:00:00+00:00,2026-03-04 19:52:15+00:00,2025-08-05 17:28:41.890000+00:00,2026-12-31 00:00:00+00:00,12294.521697222222,2394.0,2025-11-25 01:00:00+00:00,2026-03-04 19:00:00+00:00,2365,0.011625048938097194
528973,Fed decreases interest rates by 25 bps after July 2025 meeting?,macro,macro_fed_rates,No,0,23551704.395621,2025-03-19 19:55:53.819663+00:00,2025-07-30 12:00:00+00:00,2025-07-30 21:07:17+00:00,2025-03-19 19:55:53.819663+00:00,2025-07-30 21:07:17+00:00,3193.1897723158336,3192.0,2025-03-19 21:00:00+00:00,2025-07-30 21:00:00+00:00,3192,0.008847315604987352
504071,No change in Fed interest rates after 2024 September meeting?,macro,macro_fed_rates,No,0,23499210.730061,2024-08-02 20:44:13.006000+00:00,2024-09-18 12:00:00+00:00,2024-09-18 21:14:22+00:00,2024-08-02 20:44:13.006000+00:00,2024-09-18 21:14:22+00:00,1128.5024983333333,1036.0,2024-08-06 17:00:00+00:00,2024-09-18 21:00:00+00:00,1037,0.0005475789293186995
512250,Will Trump create Bitcoin reserve in first 100 days?,crypto,crypto_policy,No,0,23324353.367396,2024-11-06 23:18:43.892000+00:00,2025-04-29 12:00:00+00:00,2025-04-30 06:00:51+00:00,2024-11-06 23:18:43.892000+00:00,2025-04-30 06:00:51+00:00,4182.701974444444,4182.0,2024-11-07 00:00:00+00:00,2025-04-30 06:00:00+00:00,4183,0.005935671010825165
572480,Will Trump nominate Stephen Miran as the next Fed chair?,macro,macro_fed_rates,No,0,22847634.77107189,2025-08-05 17:28:29.345000+00:00,2026-12-31 00:00:00+00:00,2026-03-04 20:12:17+00:00,2025-08-05 17:28:29.345000+00:00,2026-12-31 00:00:00+00:00,12294.525181944446,4991.0,2025-08-08 21:00:00+00:00,2026-03-04 20:00:00+00:00,4974,0.011625048938097194
255229,Will Bitcoin hit $100k in 2024?,crypto,crypto_btc,Yes,1,22807235.891544,2024-03-04 16:05:38.561000+00:00,2024-12-30 12:00:00+00:00,2024-12-05 04:46:26+00:00,2024-03-04 16:05:38.561000+00:00,2024-12-30 12:00:00+00:00,7219.905955277777,2891.0,2024-08-06 17:00:00+00:00,2024-12-05 04:00:00+00:00,2891,0.005635703582454763
521835,Fed decreases interest rates by 25 bps after June 2025 meeting?,macro,macro_fed_rates,No,0,22347675.300958,2025-02-07 00:23:03.971666+00:00,2025-06-18 12:00:00+00:00,2025-06-18 21:18:42+00:00,2025-02-07 00:23:03.971666+00:00,2025-06-18 21:18:42+00:00,3164.9272300927773,3164.0,2025-02-07 01:00:00+00:00,2025-06-18 21:00:00+00:00,3165,0.007460179970122736
516008,Fed decreases interest rates by 50+ bps after March 2025 meeting?,macro,macro_fed_rates,No,0,22150914.603213,2024-12-18 20:49:45.708000+00:00,2025-03-19 12:00:00+00:00,2025-03-19 21:31:55+00:00,2024-12-18 20:49:45.708000+00:00,2025-03-19 21:31:55+00:00,2184.702581111111,2184.0,2024-12-18 21:00:00+00:00,2025-03-19 21:00:00+00:00,2185,0.006468349503036921
519776,Fed decreases interest rates by 50+ bps after May 2025 meeting?,macro,macro_fed_rates,No,0,22089574.500042,2025-01-23 19:21:38.989712+00:00,2025-05-07 12:00:00+00:00,2025-05-07 22:33:12+00:00,2025-01-23 19:21:38.989712+00:00,2025-05-07 22:33:12+00:00,2499.192502857778,2498.0,2025-01-23 20:00:00+00:00,2025-05-07 22:00:00+00:00,2499,0.007645022259583874
906976,Will the Fed increase interest rates by 50+ bps after the June 2026 meeting?,macro,macro_fed_rates,No,0,21740489.034398694,2025-12-10 21:45:59.028092+00:00,2026-06-17 00:00:00+00:00,2026-06-17 21:20:46+00:00,2025-12-10 21:45:59.028092+00:00,2026-06-17 21:20:46+00:00,4535.579714418889,2673.0,2025-12-10 23:00:00+00:00,2026-04-01 08:00:00+00:00,2610,0.011804813459994824
519777,Fed decreases interest rates by 25 bps after May 2025 meeting?,macro,macro_fed_rates,No,0,21653201.774564,2025-01-23 19:41:29.349605+00:00,2025-05-07 12:00:00+00:00,2025-05-07 22:33:14+00:00,2025-01-23 19:41:29.349605+00:00,2025-05-07 22:33:14+00:00,2498.8624028875,2498.0,2025-01-23 20:00:00+00:00,2025-05-07 22:00:00+00:00,2499,0.007645022259583874
516011,Fed increases interest rates by 25+ bps after March 2025 meeting?,macro,macro_fed_rates,No,0,21544318.532625,2024-12-18 20:51:00.449000+00:00,2025-03-19 12:00:00+00:00,2025-03-19 21:31:45+00:00,2024-12-18 20:51:00.449000+00:00,2025-03-19 21:31:45+00:00,2184.6790419444446,2184.0,2024-12-18 21:00:00+00:00,2025-03-19 21:00:00+00:00,2185,0.006468349503036921
