fold,split,representation,model,pca_setting,tda_window,tda_group,c_value,n_components,train_start,train_end,test_start,test_end,status,eval_group_type,eval_group,n_obs,brier,log_loss,avg_pred,avg_actual,ece,ablation_type
1,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,overall,overall,11422,0.040251711423139054,0.14853880020036928,0.08942138665322158,0.0882507441779023,0.05674189754002043,h0_h1
1,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_btc,4030,0.018360680534958974,0.07211071948714949,0.05865372490944546,0.0,0.05865372490944547,h0_h1
1,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_eth,1680,0.00023020055095236225,0.013192317751398785,0.013075497733702373,0.0,0.013075497733702373,h0_h1
1,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,9.324447685833008e-05,0.009674385409296835,0.00962745806760211,0.0,0.00962745806760211,h0_h1
1,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.017005370596990435,0.1380891840454649,0.1287266081590337,0.0,0.12872660815903372,h0_h1
1,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,macro_fed_rates,5040,0.07532334002555484,0.2647206990468761,0.14217118343715512,0.2,0.10610990991175176,h0_h1
1,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,active_market_count_bucket,26-50,11422,0.040251711423139054,0.14853880020036928,0.08942138665322158,0.0882507441779023,0.05674189754002043,h0_h1
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_C0.01,fixed_2,168,h0,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,overall,overall,11014,0.0325964573249764,0.11668170403076247,0.08752286984939243,0.08979480660976938,0.03825386466776737,h0
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_C0.01,fixed_2,168,h0,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_btc,3696,0.010774106588230178,0.0582770067209903,0.051510089914978546,0.0,0.051510089914978546,h0
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_C0.01,fixed_2,168,h0,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_eth,1680,0.0002345282542813909,0.013527653141177563,0.013408681767920566,0.0,0.013408681767920566,h0
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_C0.01,fixed_2,168,h0,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.00010187544238899852,0.009788887143774181,0.009737567148884985,0.0,0.009737567148884985,h0
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_C0.01,fixed_2,168,h0,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.00917950067306782,0.0990611489547204,0.09413484685716009,0.0,0.09413484685716009,h0
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_C0.01,fixed_2,168,h0,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,macro_fed_rates,4966,0.06356901594547022,0.20347168786704897,0.14421423272640152,0.1991542488924688,0.08755406318504927,h0
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_C0.01,fixed_2,168,h0,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,active_market_count_bucket,26-50,11014,0.0325964573249764,0.11668170403076247,0.08752286984939243,0.08979480660976938,0.03825386466776737,h0
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h1_C0.01,fixed_2,168,h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,overall,overall,11014,0.032608310211030736,0.11715088344045482,0.08476230155224844,0.08979480660976938,0.039274548705833336,h1
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h1_C0.01,fixed_2,168,h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_btc,3696,0.009816890492312453,0.05478535956490971,0.04867112917059157,0.0,0.04867112917059156,h1
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h1_C0.01,fixed_2,168,h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_eth,1680,0.0002018449198607106,0.012548785994609698,0.01244650034908333,0.0,0.01244650034908333,h1
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h1_C0.01,fixed_2,168,h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,8.611196496092315e-05,0.00904657009903628,0.009003221903598793,0.0,0.009003221903598793,h1
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h1_C0.01,fixed_2,168,h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.007955470988543939,0.09194893147464141,0.0877019630743919,0.0,0.0877019630743919,h1
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h1_C0.01,fixed_2,168,h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,macro_fed_rates,4966,0.06440266412947283,0.20797355865114037,0.14101498855072353,0.1991542488924688,0.08915119923853089,h1
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h1_C0.01,fixed_2,168,h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,active_market_count_bucket,26-50,11014,0.032608310211030736,0.11715088344045482,0.08476230155224844,0.08979480660976938,0.039274548705833336,h1
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,overall,overall,11014,0.032531993025702366,0.11710141156441896,0.08461486834874778,0.08979480660976938,0.03902861960498371,h0_h1
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_btc,3696,0.009640204808700363,0.05427422351335928,0.04829336790028915,0.0,0.04829336790028916,h0_h1
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_eth,1680,0.00019908339280590018,0.01243366406159454,0.012332784480143223,0.0,0.012332784480143223,h0_h1
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,8.774158505517714e-05,0.009022529869655325,0.008978347341535456,0.0,0.008978347341535456,h0_h1
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.007926109204376384,0.09155645574900653,0.0873234761738569,0.0,0.08732347617385688,h0_h1
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,macro_fed_rates,4966,0.0643677124943549,0.2083113818110724,0.14103491373456034,0.1991542488924688,0.08862074840763255,h0_h1
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,active_market_count_bucket,26-50,11014,0.032531993025702366,0.11710141156441896,0.08461486834874778,0.08979480660976938,0.03902861960498371,h0_h1
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_C1,fixed_2,168,h0,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,overall,overall,11187,0.03470470628960284,0.11451061266204197,0.08293172004573418,0.09010458567980692,0.057849435257273554,h0
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_C1,fixed_2,168,h0,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_btc,3717,0.010889933552756652,0.05630655704817549,0.049342310497456625,0.0,0.049342310497456625,h0
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_C1,fixed_2,168,h0,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_eth,1758,0.00031643217645769417,0.015913407339253876,0.015752516153225614,0.0,0.015752516153225614,h0
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_C1,fixed_2,168,h0,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.0001858470233853118,0.013448738031725407,0.013354906893992217,0.0,0.013354906893992217,h0
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_C1,fixed_2,168,h0,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.006758312763057061,0.0854055824261814,0.0818259898958581,0.0,0.0818259898958581,h0
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_C1,fixed_2,168,h0,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,macro_fed_rates,5040,0.06842740888724866,0.2005055415726052,0.1358488252606789,0.2,0.08958448254853503,h0
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_C1,fixed_2,168,h0,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,active_market_count_bucket,26-50,11187,0.03470470628960284,0.11451061266204197,0.08293172004573418,0.09010458567980692,0.057849435257273554,h0
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h1_C1,fixed_2,168,h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,overall,overall,11187,0.034760109662618804,0.11507458770953424,0.08081769362438682,0.09010458567980692,0.05776588769407079,h1
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h1_C1,fixed_2,168,h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_btc,3717,0.010250770132588764,0.054101696891230844,0.04758201297671153,0.0,0.04758201297671153,h1
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h1_C1,fixed_2,168,h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_eth,1758,0.00029310024918669127,0.01529616159948521,0.015147214518599603,0.0,0.015147214518599603,h1
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h1_C1,fixed_2,168,h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.00016395946149841867,0.01277236034784997,0.01268965405085367,0.0,0.01268965405085367,h1
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h1_C1,fixed_2,168,h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.00636739375751539,0.08234231749059935,0.07897241598617571,0.0,0.07897241598617571,h1
