fold,representation,model,window_hours,placebo_type,eval_group_type,eval_group,status,n_obs,brier,log_loss,avg_pred,avg_actual,ece
1,pca_only,pca_only_fixed_5_C0.01,0,none,broad_family,macro_fed_rates,ok,9129,0.04815990315135079,0.1782865727815903,0.09683469617441753,0.1407602147004053,0.056660912531506964
1,pca_only,pca_only_fixed_5_C0.01,0,none,active_market_count_bucket,26-50,ok,1740,0.04133009078135718,0.13242443216500815,0.10319736328770304,0.1,0.08784809741312917
1,pca_only,pca_only_fixed_5_C0.01,0,none,active_market_count_bucket,51-100,ok,13110,0.06216092527931496,0.20933708289883582,0.11714019955127451,0.08474446987032799,0.05359755827101165
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,overall,overall,ok,14850,0.05952163025644662,0.19948372288442348,0.11424220132290448,0.08653198653198653,0.04667326371044425
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,broad_family,crypto_btc,ok,3112,0.08480094777135826,0.24630302115607947,0.1498852840030755,0.0,0.1498852840030755
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,broad_family,crypto_eth,ok,1937,0.09224411474193048,0.2834507341978372,0.17539477343927787,0.0,0.17539477343927784
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,broad_family,crypto_microstrategy,ok,336,0.0002859042795979695,0.01623728894503536,0.016092389389431323,0.0,0.016092389389431323
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,broad_family,crypto_policy,ok,336,0.001604954487606565,0.038722210498661334,0.03789287578052692,0.0,0.03789287578052692
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,broad_family,macro_fed_rates,ok,9129,0.0482729193825025,0.178368695261439,0.09553893751545331,0.1407602147004053,0.057334288512968616
1,pca_residual_scalar_ph,pca_residual_scalar_ph_24h,24,real,active_market_count_bucket,26-50,ok,1740,0.04117189424679624,0.1325673766327957,0.10472097847930305,0.1,0.08952209908982652
