fold,representation,model,window_hours,placebo_type,prob_decile,n_obs,avg_pred,avg_actual
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,1,734,0.14599135553633533,0.03678474114441417
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,2,406,0.24089942918892174,0.04187192118226601
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,3,207,0.35998644178427175,0.2560386473429952
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,4,411,0.44703749973994616,0.5888077858880778
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,5,246,0.5454171891289827,0.8048780487804879
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,6,251,0.6556179698187907,0.5856573705179283
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,7,328,0.761129666355133,0.3871951219512195
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,8,354,0.8405676697734271,0.4350282485875706
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_24h,24,future_shift,9,19,0.9136367025864426,0.8947368421052632
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,0,8610,0.018679876247695685,0.018583042973286876
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,1,689,0.14303828339670008,0.059506531204644414
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,2,281,0.23687558848286921,0.010676156583629894
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,3,165,0.35093074786507567,0.21818181818181817
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,4,359,0.4504232084875644,0.6629526462395543
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,5,239,0.5457972972470801,0.8410041841004184
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,6,157,0.653958361943594,0.3248407643312102
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,7,299,0.7552898011495782,0.411371237458194
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,8,248,0.8338766676670233,0.5282258064516129
1,pca_residual_image_ph_future_shift,pca_residual_image_ph_future_shift_72h,72,future_shift,9,14,0.9113249030624105,0.9285714285714286
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_168h,168,shuffle,0,11549,0.02037145115191624,0.019828556584985713
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_168h,168,shuffle,1,797,0.14137646892675196,0.025094102885821833
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_168h,168,shuffle,2,509,0.24096642542777025,0.05108055009823183
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_168h,168,shuffle,3,194,0.35757234727858966,0.07216494845360824
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_168h,168,shuffle,4,443,0.4474864332008538,0.5778781038374717
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_168h,168,shuffle,5,307,0.557016902685887,0.8078175895765473
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_168h,168,shuffle,6,265,0.6535342640538102,0.6792452830188679
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_168h,168,shuffle,7,325,0.7660468629361713,0.3507692307692308
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_168h,168,shuffle,8,432,0.8421011851157632,0.4074074074074074
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_168h,168,shuffle,9,29,0.9135651349205117,0.7586206896551724
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,0,11577,0.020428353408392504,0.019780599464455387
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,1,786,0.14308310678410202,0.030534351145038167
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,2,493,0.2414600413091682,0.04462474645030426
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,3,204,0.35709202189521916,0.10294117647058823
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,4,434,0.446953299491799,0.5714285714285714
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,5,310,0.5563818123322095,0.8193548387096774
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,6,260,0.652821103381581,0.6692307692307692
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,7,334,0.7654735773663549,0.3473053892215569
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,8,425,0.842048660248434,0.4117647058823529
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_24h,24,shuffle,9,27,0.9132656468123506,0.8148148148148148
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,0,11585,0.02041421493705499,0.019766940008631852
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,1,789,0.14354133867002725,0.030418250950570342
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,2,488,0.24155532641099237,0.045081967213114756
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,3,204,0.3584949922494184,0.10784313725490197
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,4,430,0.4458906929462367,0.5813953488372093
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_72h,72,shuffle,5,306,0.5540054050666807,0.8169934640522876
