panel,fold,model,prob_decile,n_obs,avg_pred,avg_actual
core_plus_satellites,5,market_probability,2,34,0.22955882352941176,0.0
core_plus_satellites,5,var_85,0,8736,0.03667902884466726,0.038461538461538464
core_plus_satellites,5,var_90,0,8736,0.04101728398571271,0.038461538461538464
core_plus_satellites,5,var_95,0,8736,0.04090895498052271,0.038461538461538464
core_plus_satellites,6,fixed_10,0,8236,0.028245874946325005,0.04079650315687227
core_plus_satellites,6,fixed_2,0,8236,0.03685181673896592,0.04079650315687227
core_plus_satellites,6,fixed_5,0,8236,0.032753551091744514,0.04079650315687227
core_plus_satellites,6,market_probability,0,7917,0.006987323133446995,0.0022735884804850324
core_plus_satellites,6,market_probability,1,140,0.1365357142857143,0.9928571428571429
core_plus_satellites,6,market_probability,2,82,0.24170731707317072,1.0
core_plus_satellites,6,market_probability,3,66,0.37303030303030305,1.0
core_plus_satellites,6,market_probability,4,31,0.45774193548387093,1.0
core_plus_satellites,6,var_85,0,8236,0.032753551091744514,0.04079650315687227
core_plus_satellites,6,var_90,0,8236,0.032238751995673096,0.04079650315687227
core_plus_satellites,6,var_95,0,8236,0.02854843147015254,0.04079650315687227
core_plus_satellites,7,fixed_10,0,6312,0.03636260951638165,0.041666666666666664
core_plus_satellites,7,fixed_2,0,6312,0.035167896568702076,0.041666666666666664
core_plus_satellites,7,fixed_5,0,6312,0.034869304124328704,0.041666666666666664
core_plus_satellites,7,market_probability,0,6049,0.0022168140449289634,0.0
core_plus_satellites,7,market_probability,1,20,0.194,1.0
core_plus_satellites,7,market_probability,2,126,0.23345238095238094,1.0
core_plus_satellites,7,market_probability,3,117,0.3202564102564103,1.0
core_plus_satellites,7,var_85,0,6312,0.034869304124328704,0.041666666666666664
core_plus_satellites,7,var_90,0,6312,0.0355800482952778,0.041666666666666664
core_plus_satellites,7,var_95,0,6312,0.036390637656659744,0.041666666666666664
