fold,representation,model,class_weight,prob_decile,n_obs,avg_pred,avg_actual
2,tda,tda_168h_standard,standard,0,16745,0.006878127226842089,0.04556584054941774
2,tda,tda_168h_standard,standard,1,599,0.1406338595567442,0.5175292153589316
2,tda,tda_168h_standard,standard,2,234,0.24547802419636117,0.34615384615384615
2,tda,tda_168h_standard,standard,3,185,0.350624987489808,0.7945945945945946
2,tda,tda_168h_standard,standard,4,92,0.4340759133726407,0.4673913043478261
2,tda,tda_168h_standard,standard,5,61,0.5538427515701236,0.0
2,tda,tda_168h_standard,standard,6,17,0.6227523114533927,0.0
2,tda,tda_168h_standard,standard,7,1,0.7113425127860019,0.0
2,tda,tda_24h_balanced,balanced,0,15309,0.013698010439310276,0.02194787379972565
2,tda,tda_24h_balanced,balanced,1,725,0.14560899885978326,0.0496551724137931
2,tda,tda_24h_balanced,balanced,2,359,0.2431998600767418,0.48746518105849584
2,tda,tda_24h_balanced,balanced,3,257,0.358420235114439,0.5097276264591439
2,tda,tda_24h_balanced,balanced,4,352,0.4517363742619736,0.7528409090909091
2,tda,tda_24h_balanced,balanced,5,217,0.5448981595067754,0.3317972350230415
2,tda,tda_24h_balanced,balanced,6,217,0.6514755012813065,0.45161290322580644
2,tda,tda_24h_balanced,balanced,7,242,0.7461516968864104,0.4793388429752066
2,tda,tda_24h_balanced,balanced,8,193,0.8357095876166097,0.5958549222797928
2,tda,tda_24h_balanced,balanced,9,63,0.9262783543772679,0.0
2,tda,tda_24h_standard,standard,0,17196,0.005732818169582797,0.058967201674808095
2,tda,tda_24h_standard,standard,1,452,0.14082482940777488,0.415929203539823
2,tda,tda_24h_standard,standard,2,198,0.2358612536404832,0.7070707070707071
2,tda,tda_24h_standard,standard,3,35,0.3408233456171573,0.05714285714285714
2,tda,tda_24h_standard,standard,4,44,0.4297645634309418,0.0
2,tda,tda_24h_standard,standard,5,9,0.5248161549622046,0.0
2,tda,tda_72h_balanced,balanced,0,15045,0.014112329595647722,0.022333000997008974
2,tda,tda_72h_balanced,balanced,1,776,0.13707322260693405,0.001288659793814433
2,tda,tda_72h_balanced,balanced,2,463,0.2433723316835535,0.34773218142548595
2,tda,tda_72h_balanced,balanced,3,233,0.35221224024971953,0.463519313304721
2,tda,tda_72h_balanced,balanced,4,310,0.4554459860112498,0.6870967741935484
2,tda,tda_72h_balanced,balanced,5,310,0.5447796580920835,0.603225806451613
2,tda,tda_72h_balanced,balanced,6,199,0.6579895787316843,0.2914572864321608
2,tda,tda_72h_balanced,balanced,7,256,0.7459520628555945,0.3984375
2,tda,tda_72h_balanced,balanced,8,260,0.8494387325413368,0.6846153846153846
2,tda,tda_72h_balanced,balanced,9,82,0.9377918645421454,0.0
2,tda,tda_72h_standard,standard,0,17118,0.006399848181807819,0.05853487556957589
2,tda,tda_72h_standard,standard,1,446,0.14716605003125136,0.3183856502242152
2,tda,tda_72h_standard,standard,2,249,0.25502865006162717,0.7710843373493976
2,tda,tda_72h_standard,standard,3,56,0.3434973792551788,0.14285714285714285
2,tda,tda_72h_standard,standard,4,27,0.4598707779339832,0.0
2,tda,tda_72h_standard,standard,5,36,0.525444860298138,0.0
2,tda,tda_72h_standard,standard,6,2,0.6243246870467456,0.0
3,market_probability,market_probability,none,0,11872,0.0281526004966153,0.0
3,market_probability,market_probability,none,1,2013,0.14085767511177347,0.11823149528067561
3,market_probability,market_probability,none,2,1045,0.24807942583732057,0.0937799043062201
3,market_probability,market_probability,none,3,1201,0.3480432972522898,0.0
3,market_probability,market_probability,none,4,519,0.44162813102119464,0.24277456647398843
3,market_probability,market_probability,none,5,472,0.5638559322033898,0.5084745762711864
3,market_probability,market_probability,none,6,566,0.6330097173144876,0.5406360424028268
3,market_probability,market_probability,none,7,168,0.7436696428571429,0.15476190476190477
3,market_probability,market_probability,none,8,316,0.8444493670886076,0.879746835443038
3,market_probability,market_probability,none,9,32,0.90796875,1.0
3,tda,tda_168h_balanced,balanced,0,11871,0.055934262114494655,0.0004211945076236206
3,tda,tda_168h_balanced,balanced,1,1986,0.13674979390400177,0.10322255790533737
3,tda,tda_168h_balanced,balanced,2,649,0.2541092563303159,0.1941448382126348
3,tda,tda_168h_balanced,balanced,3,536,0.3473000542533621,0.0
3,tda,tda_168h_balanced,balanced,4,456,0.44574644709162975,0.0
3,tda,tda_168h_balanced,balanced,5,575,0.5492861310604442,0.006956521739130435
3,tda,tda_168h_balanced,balanced,6,438,0.6502798904407792,0.1050228310502283
3,tda,tda_168h_balanced,balanced,7,160,0.7408854811850325,0.475
3,tda,tda_168h_balanced,balanced,8,435,0.869765227729321,0.6114942528735632
3,tda,tda_168h_balanced,balanced,9,1098,0.9506013772897294,0.5610200364298725
3,tda,tda_168h_standard,standard,0,16021,0.014373741753857505,0.020972473628362773
3,tda,tda_168h_standard,standard,1,623,0.13137837140454167,0.18138041733547353
3,tda,tda_168h_standard,standard,2,211,0.2618970243507784,0.5118483412322274
3,tda,tda_168h_standard,standard,3,503,0.35608379863090905,0.6719681908548708
3,tda,tda_168h_standard,standard,4,237,0.44018308093250824,0.4219409282700422
3,tda,tda_168h_standard,standard,5,151,0.5469349843238382,0.07947019867549669
3,tda,tda_168h_standard,standard,6,110,0.6463384172769353,0.24545454545454545
3,tda,tda_168h_standard,standard,7,179,0.7555595273876468,0.7932960893854749
3,tda,tda_168h_standard,standard,8,169,0.8413066699134089,0.9940828402366864
3,tda,tda_24h_balanced,balanced,0,14404,0.023929119500286287,0.023257428492085532
3,tda,tda_24h_balanced,balanced,1,1014,0.14379507303255087,0.0009861932938856016
3,tda,tda_24h_balanced,balanced,2,741,0.24164741468302534,0.0
3,tda,tda_24h_balanced,balanced,3,337,0.3479928264150028,0.04747774480712166
3,tda,tda_24h_balanced,balanced,4,156,0.43091187939625886,0.717948717948718
3,tda,tda_24h_balanced,balanced,5,151,0.5601501382260893,0.4966887417218543
3,tda,tda_24h_balanced,balanced,6,379,0.654589573978832,0.5804749340369393
3,tda,tda_24h_balanced,balanced,7,405,0.73170616959337,0.6074074074074074
3,tda,tda_24h_balanced,balanced,8,237,0.851421872071199,0.029535864978902954
3,tda,tda_24h_balanced,balanced,9,380,0.9439111242540789,0.8736842105263158
3,tda,tda_24h_standard,standard,0,16747,0.007175372882326591,0.031050337373858004
3,tda,tda_24h_standard,standard,1,783,0.14798627120896352,0.6015325670498084
3,tda,tda_24h_standard,standard,2,190,0.24588782272772475,0.08947368421052632
3,tda,tda_24h_standard,standard,3,114,0.3429174457813065,0.09649122807017543
3,tda,tda_24h_standard,standard,4,137,0.45991798198681444,0.8175182481751825
3,tda,tda_24h_standard,standard,5,177,0.5497777782936069,0.8870056497175142
3,tda,tda_24h_standard,standard,6,56,0.6347463590410163,1.0
3,tda,tda_72h_balanced,balanced,0,13841,0.033693314435004805,0.014594321219565061
3,tda,tda_72h_balanced,balanced,1,1004,0.14835556426414886,0.13346613545816732
3,tda,tda_72h_balanced,balanced,2,645,0.25333737106890736,0.0
