fold,representation,model,class_weight,prob_decile,n_obs,avg_pred,avg_actual
1,active_filled_pca,var_85_balanced,balanced,7,15,0.7584404256952477,0.0
1,active_filled_pca,var_85_balanced,balanced,8,116,0.8629448057877032,1.0
1,active_filled_pca,var_85_balanced,balanced,9,116,0.9585665231734247,0.5
1,active_filled_pca,var_85_standard,standard,0,14275,0.005504482920565169,0.07327495621716287
1,active_filled_pca,var_85_standard,standard,1,231,0.1408987814272565,0.2813852813852814
1,active_filled_pca,var_85_standard,standard,2,54,0.22222174897170696,0.0
1,active_filled_pca,var_85_standard,standard,3,37,0.35966555987432897,0.0
1,active_filled_pca,var_85_standard,standard,4,13,0.4438440901495732,0.0
1,active_filled_pca,var_85_standard,standard,5,16,0.5585433648159488,0.5
1,active_filled_pca,var_85_standard,standard,6,108,0.6232516539129934,1.0
1,active_filled_pca,var_85_standard,standard,7,24,0.7884913086736276,0.0
1,active_filled_pca,var_85_standard,standard,8,92,0.8349546636369238,0.6304347826086957
1,active_filled_pca,var_90_balanced,balanced,0,13777,0.005936728599729503,0.06605211584524932
1,active_filled_pca,var_90_balanced,balanced,1,504,0.1370684860535668,0.2698412698412698
1,active_filled_pca,var_90_balanced,balanced,2,145,0.2625299547216029,0.2689655172413793
1,active_filled_pca,var_90_balanced,balanced,3,108,0.34213426935189495,0.24074074074074073
1,active_filled_pca,var_90_balanced,balanced,4,26,0.4209376275606121,0.0
1,active_filled_pca,var_90_balanced,balanced,5,5,0.5594718619612443,0.0
1,active_filled_pca,var_90_balanced,balanced,6,41,0.6364680792556441,0.0
1,active_filled_pca,var_90_balanced,balanced,7,12,0.7637617563257706,0.0
1,active_filled_pca,var_90_balanced,balanced,8,116,0.8568222389677317,1.0
1,active_filled_pca,var_90_balanced,balanced,9,116,0.9572439833855694,0.5
1,active_filled_pca,var_90_standard,standard,0,14352,0.005409973601116531,0.0758082497212932
1,active_filled_pca,var_90_standard,standard,1,192,0.14700550878973537,0.11979166666666667
1,active_filled_pca,var_90_standard,standard,2,21,0.22064934181835655,0.0
1,active_filled_pca,var_90_standard,standard,3,38,0.33750486299706833,0.0
1,active_filled_pca,var_90_standard,standard,4,15,0.45859458672931336,0.0
1,active_filled_pca,var_90_standard,standard,5,105,0.5812576571161409,1.0
1,active_filled_pca,var_90_standard,standard,6,11,0.6057238955352041,1.0
1,active_filled_pca,var_90_standard,standard,7,60,0.7752257272166019,0.03333333333333333
1,active_filled_pca,var_90_standard,standard,8,56,0.8325117627183355,1.0
1,active_filled_pca,var_95_balanced,balanced,0,13777,0.005663462616255541,0.06583436161718807
1,active_filled_pca,var_95_balanced,balanced,1,501,0.1392669518530648,0.2774451097804391
1,active_filled_pca,var_95_balanced,balanced,2,174,0.2522753145079989,0.10919540229885058
1,active_filled_pca,var_95_balanced,balanced,3,104,0.35010418216446976,0.4326923076923077
1,active_filled_pca,var_95_balanced,balanced,4,4,0.40601565265219725,0.25
1,active_filled_pca,var_95_balanced,balanced,5,30,0.5718099525606833,0.0
1,active_filled_pca,var_95_balanced,balanced,6,18,0.6311041923740208,0.0
1,active_filled_pca,var_95_balanced,balanced,7,10,0.7433872240814073,0.0
1,active_filled_pca,var_95_balanced,balanced,8,116,0.8367985177420963,1.0
1,active_filled_pca,var_95_balanced,balanced,9,116,0.9507874337275601,0.5
1,active_filled_pca,var_95_standard,standard,0,14362,0.004678274128853,0.07596435036902938
1,active_filled_pca,var_95_standard,standard,1,198,0.13999337758155242,0.10101010101010101
1,active_filled_pca,var_95_standard,standard,2,17,0.27931937493090253,0.0
1,active_filled_pca,var_95_standard,standard,3,29,0.3298293407546213,0.0
1,active_filled_pca,var_95_standard,standard,4,12,0.4472101164452196,0.0
1,active_filled_pca,var_95_standard,standard,5,116,0.5577113791012519,1.0
