fold,representation,model,n_components,class_weight,train_start,train_end,test_start,test_end,status,eval_group_type,eval_group,n_obs,brier,log_loss,avg_pred,avg_actual
1,active_filled_pca,fixed_2_balanced,2,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.0010172877491437602,0.014175881568558424,0.013639196596549465,0.0
1,active_filled_pca,fixed_2_balanced,2,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.0066021301419353865,0.038681698251418345,0.03486628292619386,0.0
1,active_filled_pca,fixed_2_balanced,2,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.10268981101944803,0.42484331147552135,0.04216346516433157,0.1407602147004053
1,active_filled_pca,fixed_2_balanced,2,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.0902207209162283,0.32071130676909826,0.2722754592526894,0.1
1,active_filled_pca,fixed_2_balanced,2,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,51-100,13110,0.07107394804618826,0.29716726179140146,0.019755878400599957,0.08474446987032799
1,active_filled_pca,fixed_5_standard,5,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.07626279222217294,0.3764970724306789,0.01798664394324733,0.08653198653198653
1,active_filled_pca,fixed_5_standard,5,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_btc,3112,0.010238231913050637,0.033603682802505495,0.023141437415571592,0.0
1,active_filled_pca,fixed_5_standard,5,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_eth,1937,0.0033698235246728304,0.021717361051976452,0.019600963523544113,0.0
1,active_filled_pca,fixed_5_standard,5,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,4.065440833976022e-05,0.0028193930046745207,0.002798853687091982,0.0
1,active_filled_pca,fixed_5_standard,5,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.00025239544862604965,0.007090581734240158,0.0069610321752321454,0.0
1,active_filled_pca,fixed_5_standard,5,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.11983955240076927,0.5960138662333477,0.016851694744782368,0.1407602147004053
1,active_filled_pca,fixed_5_standard,5,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.03993496730513304,0.13501566119993158,0.12088474687588685,0.1
1,active_filled_pca,fixed_5_standard,5,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,51-100,13110,0.08108433420200889,0.40854723685032046,0.004329687489945062,0.08474446987032799
1,active_filled_pca,fixed_5_balanced,5,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.07226883496013325,0.296801190284814,0.04851526178991028,0.08653198653198653
