fold,split,representation,model,pca_setting,tda_window,tda_group,c_value,n_components,train_start,train_end,test_start,test_end,status,eval_group_type,eval_group,n_obs,brier,log_loss,avg_pred,avg_actual,ece,placebo_type
1,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,active_market_count_bucket,26-50,5712,0.04586851740228328,0.16355373805017573,0.09788003876364487,0.08823529411764706,0.06623593653098714,future_shift
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,overall,overall,11014,0.03255066407208675,0.11672754138003814,0.08686959018145061,0.08979480660976938,0.03879128579838904,shuffle
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_btc,3696,0.010544994034237492,0.057491782488478985,0.0508827946479605,0.0,0.0508827946479605,shuffle
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_eth,1680,0.00022878936740314333,0.01336911956637903,0.013253078089666323,0.0,0.013253078089666323,shuffle
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,9.703378672299535e-05,0.009625901155051369,0.009577036864902137,0.0,0.009577036864902137,shuffle
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.00878438019823862,0.09720007317875008,0.09249842337533384,0.0,0.09249842337533383,shuffle
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,macro_fed_rates,4966,0.0636669744066124,0.20434834160987672,0.143406430005694,0.1991542488924688,0.08850573471555583,shuffle
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,active_market_count_bucket,26-50,11014,0.03255066407208675,0.11672754138003814,0.08686959018145061,0.08979480660976938,0.03879128579838904,shuffle
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,overall,overall,5544,0.03396730142191889,0.12451244095420767,0.0895448347125632,0.09090909090909091,0.04106829508889278,future_shift
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,broad_family,crypto_btc,1848,0.012424365568455982,0.06459869503912799,0.05676553605685392,0.0,0.05676553605685392,future_shift
