model,fold,prob_decile,n_obs,avg_pred,avg_actual,abs_calibration_error,ece
logit_pca_controls,1,0,11857,0.018574521223918707,0.02049422282196171,0.0019197015980430034,0.03465613920646419
logit_pca_controls,1,1,1089,0.13601459506819888,0.02938475665748393,0.10662983841071495,0.03465613920646419
logit_pca_controls,1,2,291,0.25154744132639745,0.003436426116838488,0.24811101520955897,0.03465613920646419
logit_pca_controls,1,3,208,0.3567749372036395,0.004807692307692308,0.3519672448959472,0.03465613920646419
logit_pca_controls,1,4,286,0.44427062289968244,0.20279720279720279,0.24147342010247966,0.03465613920646419
logit_pca_controls,1,5,114,0.5431064516369579,0.0,0.5431064516369579,0.03465613920646419
logit_pca_controls,1,6,108,0.6606006651971984,0.5185185185185185,0.1420821466786799,0.03465613920646419
logit_pca_controls,1,7,222,0.7285655659186783,0.990990990990991,0.2624254250723127,0.03465613920646419
logit_pca_controls,1,8,65,0.8533250064491065,0.9846153846153847,0.1312903781662782,0.03465613920646419
logit_pca_controls,1,9,610,0.9717382712290021,1.0,0.028261728770997863,0.03465613920646419
logit_pca_controls,2,0,15162,0.016287515045590523,0.0221606648199446,0.005873149774354075,0.03069647327589686
logit_pca_controls,2,1,1078,0.1394196036150569,0.0,0.1394196036150569,0.03069647327589686
logit_pca_controls,2,2,283,0.24424017847275745,0.0,0.24424017847275745,0.03069647327589686
logit_pca_controls,2,3,185,0.3475245874501226,0.0,0.3475245874501226,0.03069647327589686
logit_pca_controls,2,4,79,0.44731709792013186,0.16455696202531644,0.2827601358948154,0.03069647327589686
logit_pca_controls,2,5,264,0.5575302453615272,0.7537878787878788,0.1962576334263516,0.03069647327589686
logit_pca_controls,2,6,116,0.6629731498557756,0.5258620689655172,0.13711108089025836,0.03069647327589686
logit_pca_controls,2,7,340,0.7572496247032879,0.9088235294117647,0.15157390470847676,0.03069647327589686
logit_pca_controls,2,8,125,0.8341891771631363,0.992,0.15781082283686365,0.03069647327589686
logit_pca_controls,2,9,302,0.9455659895063705,1.0,0.0544340104936295,0.03069647327589686
logit_pca_controls,3,0,16078,0.01817066990438105,0.0208981216569225,0.0027274517525414516,0.021423891329774746
logit_pca_controls,3,1,705,0.1576722796522497,0.0,0.1576722796522497,0.021423891329774746
logit_pca_controls,3,2,280,0.24848053498449463,0.0,0.24848053498449463,0.021423891329774746
logit_pca_controls,3,3,133,0.32896446037052274,0.0,0.32896446037052274,0.021423891329774746
logit_pca_controls,3,6,94,0.6836881580427165,1.0,0.31631184195728346,0.021423891329774746
logit_pca_controls,3,7,87,0.7517952801866299,1.0,0.2482047198133701,0.021423891329774746
logit_pca_controls,3,8,477,0.8693656881300177,1.0,0.1306343118699823,0.021423891329774746
logit_pca_controls,3,9,350,0.9770769206275584,1.0,0.022923079372441646,0.021423891329774746
logit_pca_controls,4,0,16176,0.01888030912325284,0.011498516320474777,0.007381792802778063,0.02022255615539727
logit_pca_controls,4,1,779,0.14178736322757263,0.27599486521181,0.13420750198423737,0.02022255615539727
logit_pca_controls,4,2,461,0.23664899238222584,0.2559652928416486,0.01931630045942276,0.02022255615539727
logit_pca_controls,4,3,187,0.345084850764403,0.36363636363636365,0.018551512871960663,0.02022255615539727
logit_pca_controls,4,4,128,0.45128281764979306,0.0234375,0.42784531764979306,0.02022255615539727
logit_pca_controls,4,5,57,0.5762617959996311,0.9298245614035088,0.35356276540387765,0.02022255615539727
logit_pca_controls,4,6,28,0.6665346097974136,1.0,0.33346539020258636,0.02022255615539727
logit_pca_controls,4,7,58,0.7695288700195635,1.0,0.2304711299804365,0.02022255615539727
logit_pca_controls,4,8,194,0.8454372730790474,1.0,0.15456272692095263,0.02022255615539727
logit_pca_controls,4,9,424,0.976369733941274,1.0,0.02363026605872598,0.02022255615539727
logit_pca_controls,5,0,17859,0.014510649485310627,0.0173022005711406,0.002791551085829973,0.021576903215047467
logit_pca_controls,5,1,879,0.1367914691922377,0.030716723549488054,0.10607474564274964,0.021576903215047467
logit_pca_controls,5,2,363,0.23845793698211035,0.0,0.23845793698211035,0.021576903215047467
