universe,label,goal,metadata_market_count,panel_market_count,yes_rate,no_rate,class_entropy,avg_volume,avg_liquidity,timestamp_count,timestamp_min,timestamp_max,panel_missingness,avg_market_coverage,active_market_median,family_count,domain_count,requested_domain_count,requested_domain_coverage,mean_abs_pairwise_corr,median_abs_pairwise_corr,pc_85,pc_90,pc_95,pc1_variance,pc2_cumulative_variance,pc5_cumulative_variance,balance_score,liquidity_raw_score,coverage_score,compressibility_score,relationship_score,liquidity_score,overall_score
universe_b_macro_crypto,Universe B: Macro + crypto,Introduce cross-domain latent factors.,273,171,0.1111111111111111,0.8888888888888888,0.5032583347756457,26283739.3365699,0.0,14464,2024-08-06 17:00:00+00:00,2026-04-01 08:00:00+00:00,0.7845107676085493,0.21548923239145062,34.0,6,2,2,1.0,0.4159760703510543,0.37913909904792975,40,49,64,0.09032188720518489,0.15639985409235313,0.30263962234396696,0.2222222222222222,17.084461067806746,0.21548923239145068,0.7134502923976609,0.875,1.0,0.539954571624489
universe_c_multi_domain,Universe C: Multi-domain,Maximize outcome diversity while retaining market structure.,1362,171,0.1111111111111111,0.8888888888888888,0.5032583347756457,26283739.3365699,0.0,14464,2024-08-06 17:00:00+00:00,2026-04-01 08:00:00+00:00,0.7845107676085493,0.21548923239145062,34.0,6,2,4,0.5,0.4159760703510543,0.37913909904792975,40,49,64,0.09032188720518489,0.15639985409235313,0.30263962234396696,0.2222222222222222,17.084461067806746,0.21548923239145068,0.7134502923976609,0.625,1.0,0.514954571624489
universe_a_crypto_diversified,Universe A: Crypto diversified,Increase outcome diversity while staying crypto-focused.,169,59,0.06779661016949153,0.9322033898305084,0.3576467062456332,8057767.442911815,,6387,2024-12-30 23:00:00+00:00,2026-03-01 09:00:00+00:00,0.6116051407387357,0.3883948592612642,23.0,4,1,1,1.0,0.5722888313376988,0.6104931415697008,15,18,23,0.20570240396131292,0.31390458178395214,0.5339442519024431,0.13559322033898302,15.90214720802267,0.38839485926126427,0.6949152542372881,0.75,0.0,0.3323399888014054
